11_voice_NPC_5020_104#0,"""Fighters were born to use knuckles."""
text02#0,"""They're perfect for getting in close to the opponent<br>and then unleashing devastating blows. They're also<br>great for counterattacks after evading an attack."""
text03#0,"""The best way to learn how to use them is<br>to dive in headfirst."""
text04#0,"""Actually, I have some extra crunchers right here.<br>Go out and practice with them, then come see<br>me when you're done."""
text100#0,"""Knuckles"""
text101#0,"""Knuckles overwhelm opponents with combination<br>attacks."""
text102#0,"""Let's take a look at the basic knuckle attacks and<br>photon arts.<br><br>Although you must get in closer than with any<br>other weapon, putting you at great risk, its<br>combination attacks give your opponent<br>little chance to counterattack, enabling<br>you to dominate one-on-one battles."""
11_voice_NPC_5020_104#1,"""ファイターの特徴的武装といえば<br>やはりナックルだろうな。"""
text02#1,"""相手の懐に潜り込み、強烈な打撃を<br>たたき込む。スウェーバックで<br>回避してからの、反撃など、だ。"""
text03#1,"""まあ、基本的な扱い方は習うより慣れろ<br>触ってみた方が習得も早いだろう。"""
text04#1,"""ここにちょうど<br>ナックルを一つ用意してある。<br>これを使って少し練習してくるといい。"""
text100#1,"""『ナックル』について"""
text101#1,"""武器「ナックル」について、説明します。<br><br>ナックルは、コンビネーションアタックで圧倒する武器です。"""
text102#1,"""ナックル系の基本攻撃と<br>フォトンアーツの動きを確認してみましょう。<br><br>最も敵に接近する必要があるリスクがありながらも<br>コンビネーションアタックで敵に反撃のスキを与えず<br>一対一の状況下では敵を圧倒できるでしょう。"""
