name01#0,"""Zeno"""
name01#1,"""ゼノ"""
text01#0,"""Phew, we pulled that off somehow.<br>But wow, talk about coming out of nowhere!"""
text02#0,"""They've really gotten vicious compared<br>to what they used to be like."""
11_voice_NPC_5001_104#0,"""It hasn't been proven yet, but I'll bet you<br>anything it's got something to do with the<br>Darkers."""
text04#0,"""But I'll leave the theories to the scientists.<br>Anyway, nice work, <%me>."""
text05#0,"""Let's head back."""
text01#1,"""ふぃー、なんとかなったな。<br>いやはや、いきなり出てきやがるから<br>びっくりしたぜ。"""
text02#1,"""しっかし、やっぱ昔よりずいぶんと<br>凶暴化しちゃってるな、こいつら。"""
11_voice_NPC_5001_104#1,"""まだ証明はされてないみたいだが<br>ダーカーのせい……なんだろうなぁ。<br>それ以外考えられねえし。"""
text04#1,"""ま、難しいことは学者連中が考えるか。<br>なにはともあれ、お疲れだったな<br><%me>！"""
text05#1,"""そんじゃ、帰ろうぜ。"""
