Title#0,"""あなたが生まれたその理由"""
Explanation#0,"""これは、過去と現在と未来を繋ぐ出来事。<br>ただ一つの目的を胸に、終わりなき物語を<br>辿っていた者の、ひとつの結末となる。<br>永遠に繰り返される悲劇を終わらせるため<br>皆は戦い、『二人』もまた力を尽くす。<br>その目的は、ただ一つ。<br>彼女が、存在する理由を、作るために。<br>原初の願いに、応えるために。<br>――――――――――――――――――――<br>失敗条件/戦闘不能後、リタイアを選択"""
SimpleExplanation#0,"""???"""
Area0S#0,"""森林エリア"""
Area0L#0,"""惑星ナベリウス\u3000森林エリア"""
Area1S#0,"""壊世区域\u3000遺跡エリア"""
Area1L#0,"""惑星ナベリウス\u3000壊世区域\u3000遺跡エリア"""
Area2S#0,"""壊世区域\u3000森林エリア１"""
Area2L#0,"""惑星ナベリウス\u3000壊世区域\u3000森林エリア１"""
Area3S#0,"""壊世区域\u3000森林エリア２"""
Area3L#0,"""惑星ナベリウス\u3000壊世区域\u3000森林エリア２"""
Area4S#0,"""壊世区域\u3000森林エリア３"""
Area4L#0,"""惑星ナベリウス\u3000壊世区域\u3000森林エリア３"""
Area5S#0,"""壊世区域\u3000遺跡エリア"""
Area5L#0,"""惑星ナベリウス\u3000壊世区域\u3000遺跡エリア"""
