name01#0,"""Hilda"""
name02#0,"""Melitta"""
name01#1,"""ヒルダ"""
name02#1,"""メリッタ"""
skit01#0,"""It's time. Air support, prepare<br>to engage the enemy."""
skit02#0,"""I-I have an urgent report!<br>Scanners are showing two large<br>hostile readings inside the Themis!"""
skit03#0,"""Oh no! One of our fighter planes was hit!<br>It's going down! This is terrible!"""
skit04#0,"""Calm down, Melitta.<br>All ARKS members in the vicinity of F-5:<br>assist the damaged fighter plane."""
skit05#0,"""Remaining fighter planes, regroup and continue<br>the search-and-destroy operation.<br>Don't let the other hostile get away."""
skit01#1,"""定刻だ。これより<br>航空部隊による掃討を……"""
skit02#1,"""きっ、緊急の警告ですー！<br>『テミス』内部に新たな反応！<br>おっきなのが二つですー！"""
skit03#1,"""あっ、ああっ！　戦闘機が<br>おっきいのから攻撃を受けて<br>墜落中ですー！　大変大変！"""
skit04#1,"""……メリッタ、少しは落ち着け。<br>Ｆ－５近辺のアークスに要請。<br>戦闘機の援護に回れ。"""
skit05#1,"""現存する航空部隊は再編後<br>掃討作戦を継続するぞ。<br>もう一つの敵性反応を逃すな。"""
