ChallengeSet#0,"""Class Set"""
ChallengeSet_contents#0,"""Class Set Contents"""
ChallengeSet_ability#0,"""Class Set Explanation (Confirm to view class skill details.)"""
ChallengeSet_ability_list#0,"""Class Skills/PAs/Techniques"""
ChallengeSet_select#0,"""Select Class Set"""
ChallengeSet_confirm#0,"""Confirm Class Set"""
ChallengeSet_message#0,"""As a [$(0)],<br>your equipment, class skills, etc., will change.<br><br>¿Continuar?"""
ChallengeSet_nouse#0,"""Class set cannot be changed<br>because a quest has begun."""
ChallengeSet_Help#0,"""<c f0df60>Selecciona un Class Set<c>"""
ChallengeSet_Toast#0,"""Applied Class Set [$(0)]."""
MySetClassSetNone#0,"""Class has not been set."""
MySetEquipSetNone#0,"""Equipamiento has not been set."""
MySetPreSetNone#0,"""No Presets"""
StatusLabelLevel#0,"""Nv."""
NoClassSkillMessage#0,"""There are no Class Skills"""
NoPaMessage#0,"""There are no Photon Arts"""
NoTechnicMessage#0,"""There are no Techniques"""
MySetClassNone#0,"""No class selected."""
MySetItemNone#0,"""No hay objetos seleccionados."""
Title#0,"""Class Details"""
ItemDetailTitle#0,"""Informacion del objeto"""
Class#0,"""Clase"""
Error#0,"""My Set Error"""
EquipError#0,"""Cannot change equipment."""
ListError#0,"""Could not acquire My Set."""
QuestStartError#0,"""A quest is already underway."""
MenuError#0,"""There is no My Set."""
InShipToast#0,"""Cambiando temporalmente a la Nave Compartida."""
MainMenu_Mail#0,"""Nave Compartida Mail"""
MainMenu_FriendList#0,"""Nave Compartida Friend List"""
MainMenu_Community_Friend#0,"""Nave Compartida Friend List"""
MainMenu_Community_Mail#0,"""Nave Compartida Mail"""
MainMenu_System_SimbolArt#0,"""Nave Compartida Symbol Arts"""
MainMenu_Community_CommonFriend#0,"""Nave Compartida Friend List"""
MainMenu_Community_CommonMail#0,"""Nave Compartida Mail"""
ChallengeTitleText#0,"""Challenge Monument"""
ChallengeGuideText#0,"""<c f0df60>Display Rankings of Mision de Desafio Users.<c>"""
ChallengeGuideNow#0,"""<c f0df60>Challenge Ranking In-Progress.<c>"""
ChallengeGuideNew#0,"""<c f0df60>Latest Challenge Ranking<c>"""
ChallengeGuideOld#0,"""<c f0df60>Previous Challenge Ranking<c>"""
ChallengeTitleChallengeSelect#0,"""Challenge Selection"""
ChallengeTitleQuest#0,"""$(0)"""
ChallengeCapDate#0,"""Total period"""
ChallengeDate#0,"""Updates Mondays at 07:00 JST"""
ChallengeRankingTitle#0,"""「$(0)」 Challenge Ranking"""
ChallengeMission#0,"""Mission $(0) ($(1)%)"""
RankingTab01#0,"""Top 20"""
RankingTab02#0,"""Around you"""
RankingTab03#0,"""Friends Top 20"""
RankingTab04#0,"""Team Top 20"""
RankingText01#0,"""Rankings"""
RankingText02#0,"""Nombre del personaje / Player ID"""
RankingText03#0,"""Area Reached / CM"""
RankingText04#0,"""Su clasificacion"""
RankingText05#0,"""Lista de Clasificaciones"""
RankingText06#0,"""Nombre del personaje"""
RankingText07#0,"""Nombre ID del jugador"""
RankingErrorTitle#0,"""Anuncio"""
RankingErrorMsg#0,"""現在、一時的にチャレンジランキングは<br>ご利用いただけません。"""
SendTitle#0,"""Challenge Comment"""
Message#0,"""今回のチャレンジの結果をコメントに残そう!<br><br>コメントはあなたの最高クリア率に記録された<br>タグに表示されるようになります。<br><br><yellow>※入力したコメントはパーティーメンバーにも<br>表示されるようになります。<c><br><yellow>※コメントは最高クリア率を超えなくても、<br>入力するごとに内容が更新されます。<c>"""
SendErrorTitle#0,"""Challenge Comment"""
SendErrorMessage#0,"""ただいま大変混雑しております。<br>チャレンジコメントを保存することが、<br>できませんでした。"""
Achievement_Up#0,"""Logro Name (+$(0)CP)"""
Achievement_Down#0,"""was achieved!"""
Clear_Msg#0,"""Challenge Clear Rate: MISSION $(0) $(1)%"""
TextStart#0,"""challenge start"""
TextClear#0,"""challenge clear"""
TextMission#0,"""Mision"""
TextCongratulations#0,"""Felicitaciones!"""
TextInterval#0,"""Area de descanso"""
TextFinalMission#0,"""Mision final"""
ResultEmptyMessage#0,"""Introduce un comentario aqui."""
ReturnMessage#0,"""キャンプシップへ戻ります。<br>¿Seguro que quieres?<br><br>キャンプシップに戻ると、VRエネルギーが回復せず<br><yellow>パーティー全体のリザルト評価に影響します。<c><br>また、クエスト開始中に、長時間キャンプシップに<br>残り続けると、個人のリザルト評価に影響します。<br><br>この場で復活することで、VRエネルギーを<br>一定量回復させることができます。"""
SelectedForm_Title#0,"""Nave Compartida Symbol Art List"""
Ship01#0,"""Ship01:Feoh"""
Ship02#0,"""Ship02:Ur"""
Ship03#0,"""Ship03:Thorn"""
Ship04#0,"""Ship04:Ansur"""
Ship05#0,"""Ship05:Laguz"""
Ship06#0,"""Ship06:Ken"""
Ship07#0,"""Ship07:Geofu"""
Ship08#0,"""Ship08:Wynn"""
Ship09#0,"""Ship09:Hagall"""
Ship10#0,"""Ship10:Nauthiz"""
DebugShip01#0,"""Ship01"""
DebugShip02#0,"""Ship02"""
DebugShip03#0,"""Ship03"""
DebugShip04#0,"""Ship04"""
DebugShip05#0,"""Ship05"""
DebugShip06#0,"""Ship06"""
DebugShip07#0,"""Ship07"""
DebugShip08#0,"""Ship08"""
DebugShip09#0,"""Ship09"""
DebugShip10#0,"""Ship10"""
