name01#0,"""Karin"""
name01#1,"""カリン"""
skit01#0,"""Wow, you sure did a good job!<br>You've managed to complete all of the Stages!<br>We've also got a heap of wonderful data from it!"""
skit02#0,"""Ah, by the way. Next time you do an Extreme Quest, it'll start from the first stage again!<br>Just letting you know! """
skit03#0,"""But in exchange for starting over, we're giving you a ton of Spellstones! So try your best next time too, okay?"""
skit04#0,"""In any case! You also get to take items corresponding to the amount of Stage Orders you completed!"""
skit05#0,"""Pick whichever items you'd like from the Extreme Terminal.<br>Now then. Good work!"""
skit06#0,"""Also, as a service to you we're also going to give <br>you catalysts to change the Spellstones  into <br>other types of Spellstones!"""
text01#0,"""Karin gave you four ""<%skit_text>s""."""
text02#0,"""Karin gave you a ""<%skit_text>""."""
text03#0,"""Karin gave you 15 ""<%skit_text>s""."""
text04#0,"""Karin gave you 25 ""<%skit_text>s""."""
skit01#1,"""うわーい、やりましたね！<br>全ステージのクリア達成ですよ！<br>いいデータもてんこもり！"""
skit02#1,"""ああ、ちなみに次回は<br>最初のステージから開始です！<br>気をつけて下さいね！ """
skit03#1,"""そのかわりに、魔石の原石を<br>たくさんプレゼントしちゃうので<br>次回も頑張ってくださいね！"""
skit04#1,"""なにはともあれ！　今回も<br>ステージオーダー達成数に応じた数の<br>アイテム、持ってっちゃえー！"""
skit05#1,"""エクストリーム端末から<br>好きなの選んで下さいね。<br>ではでは、お疲れ様でした！"""
skit06#1,"""あと、別の魔石に変換するための<br>触媒なんかもサービスサービス！<br>おまけで持ってけー！"""
text01#1,"""カリンから『<%skit_text>』を４つ受け取りました。"""
text02#1,"""カリンから『<%skit_text>』を受け取りました。"""
text03#1,"""カリンから『<%skit_text>』を１５個受け取りました。"""
text04#1,"""カリンから『<%skit_text>』を２５個受け取りました。"""
