TEST#0,"""テストです。"""
ConnectErrorLabel#0,"""Error de Comunicacion"""
ConnectErrorText#0,"""Desconectado del servidor. Regresando al inicio..."""
InvalidPasswordText#0,"""Nombre de cuenta o clave incorrecta"""
FailVersionText#0,"""La version no es la del servidor. Regresando al inicio"""
DnsError#0,"""DNS Error"""
SignOut_Vita#0,"""PlayStation®Networkからサインアウトしました。<br>タイトルへ戻ります。"""
SignOut_PS4#0,"""“PlayStation Network”からサインアウトしました。<br>タイトルへ戻ります。"""
Resume_Vita#0,"""サーバータイムアウトが発生しました。<br>タイトルへ戻ります。"""
ErrorWindowText#0,"""※Para informacion de error y problemas, por favor informar en la pagina de soporte oficial."""
ErrorCodeText#0,"""Codigo de error"""
OkButtonText#0,"""OK"""
WebButtonText#0,"""Visita el sitio oficial"""
ShopButtonText#0,"""Visita el sitio de compras"""
WebURL#0,"""<&URL pso2_players>"""
ShopURL#0,"""<&URL AC_CHARGE_PAGE>"""
TokuteiURL#0,"""<&URL pso2_players_support_rule_tokutei>"""
TokuteiURL_v#0,"""<&URL pso2_players_support_rule_tokutei_vita>"""
Code220_Title#0,"""Nueva version disponible"""
Code220_Code#0,"""Fallo coneccion con el servidor."""
Code220_Message#0,"""Nueva version disponible.<br>No se ha podido conectar con el servidor."""
Code221_Title#0,"""Nueva version disponible"""
Code221_Code#0,"""No se pudo descargar la version mas reciente."""
Code221_Message#0,"""最新バージョンへ<br>正常にアップデートすることができませんでした。<br>ファイルチェックをお試しいただき、<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へ<br>お問い合わせください。"""
Code222_Title#0,"""Nueva version disponible"""
Code222_Code#0,"""No se pudo descargar la version mas reciente."""
Code222_Message#0,"""最新バージョンへ<br>正常にアップデートすることができませんでした。<br>ファイルチェックをお試しいただき、<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。"""
Code223_Title#0,"""revisa la ultima version"""
Code223_Code#0,"""No se pudo validar la version"""
Code223_Message#0,"""Nueva version disponible.<br>No se ha podido conectar con el servidor."""
Code224_Title#0,"""revisa la ultima version"""
Code224_Code#0,"""No se pudo validar la version"""
Code224_Message#0,"""Nueva version disponible.<br>No se ha podido conectar con el servidor."""
Code225_Title#0,"""Nueva version disponible"""
Code225_Code#0,"""No se puede descargar los archivos mas recientes del sistema."""
Code225_Message#0,"""最新バージョンへ<br>正常にアップデートすることができませんでした。<br>しばらく時間をおいてから、再度接続してください。<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。"""
Code226_Title#0,"""Nueva version disponible"""
Code226_Code#0,"""No se puede descargar los archivos mas recientes del sistema."""
Code226_Message#0,"""最新バージョンへ<br>正常にアップデートすることができませんでした。<br>しばらく時間をおいてから、再度接続してください。<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。"""
Code227_Title#0,"""Nueva version disponible"""
Code227_Code#0,"""La descarga del archivo ha fallado."""
Code227_Message#0,"""最新バージョンへ<br>正常にアップデートすることができませんでした。<br>しばらく時間をおいてから、再度接続してください。<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。"""
Code228_Title#0,"""Nueva version disponible"""
Code228_Code#0,"""La descarga del archivo ha fallado."""
Code228_Message#0,"""最新バージョンへ<br>正常にアップデートすることができませんでした。<br>しばらく時間をおいてから、再度接続してください。<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。"""
Code230_Title#0,"""Conexion de red"""
Code230_Code#0,"""Se ha producido un error de conexion a la red."""
Code230_Message#0,"""Error de conexion (No hay respuesta del servidor DNS)"""
Code231_Title#0,"""Conexion de red"""
Code231_Code#0,"""Se ha producido un error de conexion a la red."""
Code231_Message#0,"""Error de conexion (No hay respuesta del servidor DNS)"""
Code240_Title#0,"""Conexion de red"""
Code240_Code#0,"""Se ha producido un error de conexion a la red."""
Code240_Message#0,"""サーバーへ接続することができませんでした。<br>公式サイトのお知らせ等で<br>サーバーの稼働状況についてご確認ください。"""
Code241_Title#0,"""Conexion de red"""
Code241_Code#0,"""Se ha producido un error de conexion a la red."""
Code241_Message#0,"""サーバーへ接続することができませんでした。<br>しばらく時間をおいてから、再度接続してください。<br>その後も同様に発生する場合は<br>公式サイトのサポート窓口へお問い合わせください。"""
Code242_Title#0,"""Conexion de red"""
