text01#0,"""Weapon proficiency takes daily practice.<br>The more training you do, the more you'll improve."""
text02#0,"""You may find it hard and exhausting at first, but<br>the more boot camps you complete, the more<br>you'll start to enjoy the process."""
11_voice_NPC_5057_100#0,"""I've sent out countless<br>students like that.<br>So just put your mind at ease and follow me."""
text100#0,"""Twin Machine Guns"""
text101#0,"""This is an explanation of the twin machine gun gear system.<br><br>By learning the \""twin machine guns\"" skill, a gear gauge<br>will be added to the top of the Weapon Palette.<br><br>The gear gauge will charge when<br>landing attacks with twin machine guns."""
text102#0,"""Attack power increases when the gear gauge is full.<br><br>The gauge for the twin machine guns will decrease over<br>time, so you should keep your attacks continuous.<br>Also, the gauge will decrease when you receive damage,<br>and since the gauge will disappear when empty, pay close attention."""
text01#1,"""武器の扱いとは一日にしてならず。<br>特訓すればするほど、その扱いは<br>上達していくものよ。"""
text02#1,"""最初は辛く、苦しいと思う特訓も<br>一つ一つ出来ることが増えるたびに<br>どんどん気持ちよくなっていく。"""
11_voice_NPC_5057_100#1,"""そういう教え子を<br>私は何人も送り出してきた。<br>だから、貴方も安心して従いなさい。"""
text100#1,"""『ツインマシンガンギア』について"""
text101#1,"""ツインマシンガンのギアシステムについて、説明します。<br><br>スキル「ツインマシンガンギア」を習得している場合には<br>武器パレットの上部にギアゲージが追加されます。<br><br>ツインマシンガンの攻撃をヒットさせると<br>ギアゲージが蓄積されていきます。"""
text102#1,"""ギアゲージが高まると攻撃力が上昇します。<br><br>ツインマシンガンギアのゲージは時間経過で減少するので<br>攻撃しつづけるのが良いでしょう。<br>また、ダメージを受けるとゲージが減少し、<br>ダウンするとゲージが無くなるので、注意しましょう。"""
