un_025090_0001#0,"""A.P.228/7/11"""
un_025090_0010#0,"""……こんだけの数を一人ってなると<br>ちょっと面倒だな。"""
un_025090_0020#0,"""……まったく<br>とんだ演習になっちまったぜ。"""
un_025090_0030#0,"""え……！？<br>あんた……この前の！"""
un_025090_0040#0,"""いやあ、助かった助かった。<br>連戦連戦でさらに囲まれたから<br>正直、肝が冷えてたんだよ。"""
un_025090_0050#0,"""ああっと、悪い。<br>自己紹介がまだだったな。"""
un_025090_0055#0,"""オレはゼノっていうんだ。<br>あんたは？"""
un_025090_0060#0,"""無闇矢鱈に未来の情報を<br>過去に落としてきちゃだめだよ。<br>……適当にはぐらかして。"""
un_025090_0070#0,"""１．極秘任務中だから、秘密"""
un_025090_0080#0,"""２．好きに呼んでいいよ"""
un_025090_0090#0,"""……極秘任務中か。<br>そりゃ名前も言えないよな。"""
un_025090_0100#0,"""じゃあ、何て呼ぶか<br>オレが決めちゃってもいいか？"""
un_025090_0110#0,"""名前、隠してるのか？<br>極秘任務中とか？<br>んー、それじゃあなんて呼ぶかな。"""
un_025090_0120#0,"""強いアークスさん……は長い。<br>先生……は違うか。<br>もっとしっくり来る何か……"""
un_025090_0130#0,"""……よし！\u3000師匠だ！<br>あんた、ムチャクチャ強いから<br>オレはあんたを師匠って呼ぶ！"""
un_025090_0140#0,"""助けてくれてありがとな、師匠。"""
un_025090_0150#0,"""へへっ、師匠って呼ぶと<br>なんだかいろいろ<br>聞きやすい気がしてくるな！"""
un_025090_0160#0,"""さっそくだが師匠<br>ちょっと聞きたいことが……"""
un_025090_0170#0,"""って、エコーからの通信かよ！<br>ほっとくとうるせえし……<br>……あーもう、仕方ねえ！"""
un_025090_0180#0,"""師匠、今度会った時には<br>強くなる秘訣とかそういうの<br>たくさん聞かせてくれよ！"""
un_025090_0201#0,"""？？？"""
