name#0,"""Tea"""
name#1,"""ティア"""
11_voice_NPC_5013_100#0,"""Oh ho ho, just at the right time!<br>Come on come on, over here!"""
favs_before_020#0,"""Ta-daa!<br>Here, this is for you!"""
favs_after_010#0,"""You're always helping me out and everything, so it's my way of saying thanks, sort of? """
favs_after_020#0,"""Alrighty, well, stay in touch!"""
11_voice_NPC_5013_100#1,"""おやおやっ、ちょうどいいところに！<br>さささ、こっちへこっちへ！"""
favs_before_020#1,"""じゃじゃーん！<br>はいこれ、プレゼントだよっ！"""
favs_after_010#1,"""アナタにはいつもお世話になってるし<br>そのお礼、みたいな？"""
favs_after_020#1,"""それじゃ、これからもよろしくねっ！"""
favs_present_010#0,"""Patty gave you an ""Elemental Synthesizer""."""
favs_present_020#0,"""Patty gave you an ""Elemental Synthesizer""."""
favs_present_030#0,"""Patty gave you an ""Elemental Synthesizer""."""
favs_present_040#0,"""Patty gave you ""Rumbling Moon""."""
favs_present_050#0,"""Patty gave you an ""Elemental Synthesizer""."""
favs_present_060#0,"""Patty gave you ""Illusion Rave""."""
favs_present_070#0,"""Patty gave you an ""Elemental Synthesizer""."""
favs_present_080#0,"""Patty gave you ""Fake Capture""."""
favs_present_090#0,"""Patty gave you an ""Elemental Synthesizer""."""
favs_present_100#0,"""Patty gave you an ""Deadly Archer""."""
favs_present_010#1,"""パティから『シンセサイザー』を受け取りました。"""
favs_present_020#1,"""パティから『シザーエッジ』を受け取りました。"""
favs_present_030#1,"""パティから『シンセサイザー』を受け取りました。"""
favs_present_040#1,"""パティから『ランブリングムーン』を受け取りました。"""
favs_present_050#1,"""パティから『シンセサイザー』を受け取りました。"""
favs_present_060#1,"""パティから『イリュージョンレイヴ』を受け取りました。"""
favs_present_070#1,"""パティから『シンセサイザー』を受け取りました。"""
favs_present_080#1,"""パティから『フェイクキャプチャ』を受け取りました。"""
favs_present_090#1,"""パティから『シンセサイザー』を受け取りました。"""
favs_present_100#1,"""パティから『デッドリーアーチャー』を受け取りました。"""
text100#0,"""Dummy text to explain how to change things in Your Room."""
text1000#0,"""Dummy text to explain how to change things in Your Room."""
text100#1,"""一仮テキストトーストでマイルームの変更方法を通知する。"""
text1000#1,"""二仮テキストトーストでマイルームの変更方法を通知する。"""
11_voice_NPC_5013_100#0,"""Hmmm, it's so important to take a breather, right!<br>Now, have a gooooood stretch! """
Patty_01_020#0,"""I think you get a little too much rest, Patty."""
11_voice_NPC_5013_100#1,"""んー、やっぱり息抜きは重要だよね！<br>ほら、ぐーっと背伸びをして！"""
Patty_01_020#1,"""パティちゃんは息抜きすぎだと思うよ。"""
11_voice_NPC_5013_104#0,"""You know, if we didn't join ARKS, we<br>would've ended up a pretty useless pair."""
Patty_02_020#0,"""""We?"" Did you just say ""we,"" Patty?"""
11_voice_NPC_5013_104#1,"""しっかし、あたしたち<br>アークスになれなかったら<br>何も出来ない子になってたよねー。"""
Patty_02_020#1,"""あたし『たち』？<br>ねえパティちゃん？<br>今、『たち』って言った？"""
11_voice_NPC_5013_100#0,"""Intel teams are all about stamina!<br>I'm so glad I had the makings of a Hunter!<br>You doing okay there, Tea?"""
Patty_03_020#0,"""I'm perfectly happy as a Force, but I don't think Patty should be the one worrying about me......"""
11_voice_NPC_5013_100#1,"""情報屋は体力が命！<br>あたし、適性がハンターで良かった！<br>ティア、体力だいじょーぶ？"""
Patty_03_020#1,"""フォースであることに不満はないけど<br>パティちゃんに気づかわれるのが<br>腑に落ちない……"""
11_voice_NPC_5013_102#0,"""You wanna know if we're really the top<br>ARKS intel team? Don't be silly!<br>Of course we are!"""
Patty_04_020#0,"""Because nobody else goes around<br>actually calling themselves an intel team."""
11_voice_NPC_5013_102#1,"""本当にアークスいちの<br>情報屋なのか、って？<br>しっつれいしちゃうなあ！　本当だよ！"""
Patty_04_020#1,"""私たち以外には<br>まっとうに情報屋を<br>名乗ってる人がいないからね。"""
11_voice_NPC_5013_104#0,"""The great thing about being the intel team is that we get to meet so many people! ......well, some people hate us. """
Patty_05_020#0,"""I think that's 'cause you pester people too much, Patty."""
11_voice_NPC_5013_104#1,"""いろんな人と知り合いになれるのは<br>情報屋で良かったと思えることだね！<br>……時々嫌われたりもするけど。"""
Patty_05_020#1,"""たいていの理由は<br>パティちゃんがしつこいからだよ。"""
11_voice_NPC_5013_100#0,"""Have we ever had a brush with death?<br>Oh, definitely, oh yeah. Oooh yes. Soooooo many times. """
Patty_06_020#0,"""Intel's only worth something when it's fresh,<br>so we have to be where the action is.<br>We stare death in the face all the time!"""
11_voice_NPC_5013_100#1,"""んー？　死にそうになったこと？<br>あるよーあるある。いーっぱいあるよ。"""
Patty_06_020#1,"""なにせ情報は鮮度が命。<br>最前線に突っ込んでいくからね。<br>死線なんておちゃのこさいさい、だよ！"""
11_voice_NPC_5013_102#0,"""You wanna know which one of us is the<br>older twin? Can't you tell? I was born first!"""
