linewindow100#0,"""About [Crafting]"""
text00#0,"""About [Crafting]"""
text01#0,""This explains Crafting.<br><br>Crafting is a system for <yellow>rewriting items and Techniques<c>, for instance by rewriting the parameters of weapons and units, or by creating disks to adjust the performance of Techniques.<br><yellow>■Main types of Crafting<c><br><green>Weapon Extension<c><br>This allows you to take weapons and units and <cff007f>rewrite their parameters in specific ways<c>. Unlike with grinding, even initially-weak equipment can be rewritten to become much more powerful.<br><green>Technique Customization<c><br>This creates a Custom Disk which adjusts the performance of a learned Technique in various ways. Apply the effect of the Custom Disk by using it."""
text02#0,"""<green>PA Customization<c><br>This creates a Custom Disk which adjusts the performance of a learned Photon Art in various ways. Apply the effect of the Custom Disk by using it.<br>\u3000<green>Timed Ability Installation<c><br>This adds a random effect to units. The effect has various restrictions on it, such as only applying in certain conditions, and lasting for a limited time, but the strength of the effect makes up for the restrictions."""
text03#0,"""Crafting is executed from the <yellow>My Room Terminal<c>.<br><br>Performing crafts and <yellow>unlocking Crafting Achievements<c> will raise your <yellow>Craft Level<c>, and allow you to create higher-ranked or higher quality crafts.<br><br>In addition, other players can order Craft Requests from you. You can register what you want to craft and your comments by selecting \""Signboard Settings\"" from the \""Crafting\"" menu of your Room Terminal.<br><br><yellow>■A shortcut to levelling up<c><br>Since your crafting level rises with the number of Crafting Achievements you unlock, performing the same crafts over and over won't raise your level very quickly. Try dabbling in a broad range of crafts instead."""
text04#0,"""In addition to performing crafts yourself, you can also order them from other players. You can issue Craft Orders from <yellow>the My Room Terminal in another player's room.<c><br><br>※You can use \""Craft\"" → \""Crafter Search\"" from the Visiphone to find crafters and travel to their rooms.<br><br>You can always issue Craft Orders for recipes even if you cannot create them yourself."""
text05#0,"""Items that you've ordered from other players can be accepted or cancelled at the Visiphone by selecting \""Craft\"" → \""Pending\"".<br><br>When dealing with orders from other players, you can confirm the request and perform the craft by selecting \""Craft\"" → \""Crafting Requests\"" at your own My Room Terminal.<br><br>※You can view this tutorial at any time by opening the main menu and selecting \""System\"" → \""Information\"" → \""Tutorials\""."""
linewindow100#1,"""『クラフト』について"""
text00#1,"""『クラフト』について"""
text01#1,"""「クラフト」について説明します。<br>クラフトとは、武器やユニットの性能を書き換えたり、<br>テクニックの性能を調整するディスクの作成といった、<br><yellow>「アイテムやテクニックの改造」<c>を行うシステムです。<br><br><yellow>■主な「クラフト」の種類<c><br>　<green>・武装エクステンド<c><br>　　武器やユニットの性能を<c ff007f>特定の性能に書き換える<c>機能です。<br>　　強化値アップとは異なり、もとは弱い性能の装備品でも<br>　　見た目はそのままに、強力な性能に書き換えることができます。<br>　<green>・テクニックカスタマイズ<c><br>　　習得しているテクニックの性能に対して、<br>　　様々な調整を加える「カスタムディスク」を作成します。<br>　　カスタムディスクを<c ff007f>使用する<c>ことで、効果を適用します。"""
text02#1,"""クラフトは、<yellow>自分のマイルーム端末<c>から実行できます。<br><br>クラフトを実行し、<yellow>「クラフト実績」を解除<c>していくと<br><yellow>クラフトレベルが上昇<c>し、より上位のものが作成できたり<br>品質の良いものができたりします。<br><br>また、他のプレイヤーからあなたに対して「クラフトの依頼」が<br>発注されることがあります。マイルーム端末の「クラフト」から<br>「看板設定」を行うと、あなたの希望やコメントを登録できます。<br><br><yellow>■クラフトレベルアップへの近道<c><br>　クラフトレベルは「解除した実績の種類数」で上昇するため、<br>　同じ内容の繰り返しではなかなかレベルは上がりません。<br>　広く浅く、様々なクラフトにチャレンジしましょう。"""
text03#1,"""クラフトは「自分でクラフトする」以外に、<br>「他のプレイヤーに発注」して作ってもらうこともできます。<br>発注は、<yellow>相手のマイルームのマイルーム端末<c>から<br>行うことができます。<br><br>※ビジフォンの「クラフト＞クラフター検索」で<br>　検索結果のクラフターのマイルームに移動できます。<br><br>発注では、自分自身が作成できないレシピであっても、<br>依頼することができます。"""
text04#1,"""他のプレイヤーに発注したアイテムは、<br>ビジフォンの「クラフト」＞「依頼中の発注書」から<br>受け取りやキャンセルが可能です。<br><br>逆に、他のプレイヤーから発注された場合は、<br>自分のマイルーム端末にある「依頼からクラフトする」から<br>依頼品の確認やクラフトの実行ができます。<br><br>※このチュートリアルは、メインメニューの<br>　「システム＞インフォメーション＞チュートリアル確認」で<br>　いつでも見ることができます。"""
