Title#0,"""アークス訓練所"""
MenuType_Next#0,"""次の「$(0)」を行う"""
MenuType_Next_None#0,"""次の訓練はありません"""
MenuType_Retry#0,"""この訓練をもう一度行う"""
MenuType_Back#0,"""ゲートエリアに戻る"""
TerminalMenuType_Reset#0,"""$(0)を最初から行う"""
TerminalMenuType_Close#0,"""端末を出る"""
TerminalResetConfirmTitle#0,"""リトライ端末"""
TerminalResetConfirmMessage#0,"""$(0)をリトライしますか？"""
TerminalResetConfirmTitle2#0,"""リトライ端末"""
Title#1,"""Questergebnisse"""
QuestResultTitle#0,"""Questergebnisse"""
ItemResultTitle#0,"""Erhaltene Items"""
RankResultTitle#0,"""-"""
EquipNoteResultTitle#0,"""コレクトシートリザルト"""
BeforeQuestResultTitle#0,"""Vorhereige Questergebnisse"""
BeforeItemResultTitle#0,"""Vorhereige Questergebnisse"""
BeforeRankResultTitle#0,"""-"""
BeforeEquipNoteResultTitle#0,"""前回のシートリザルト"""
ChallengeResultTitle#0,"""Challenge Ergebnis"""
End#0,"""Schließen"""
ItemResultElement1#0,"""Erhaltene Mesata"""
ItemResultElement2#0,"""Erhaltene EXP"""
ItemResultElement3#0,"""Erhaltene FUN"""
ItemResultElement4#0,"""取得チャレンジマイル"""
ItemResultUnit1#0,"""Mst"""
ItemResultUnit2#0,"""EXP"""
ItemResultUnit3#0,"""FUN"""
ItemResultUnit4#0,"""CM"""
ItemGet#0,"""Erhaltene Items"""
QuestResultElement1#0,"""Gegner-Eleminierungsrang"""
QuestResultElement2#0,"""Ausgeteilter Schaden"""
QuestResultElement3#0,"""戦闘不能回数"""
QuestResultElement4#0,"""Wiederbelebungen"""
QuestResultElement5#0,"""Benötigte Zeit"""
QuestResultElement6#0,"""Verbleibende Zeit"""
QuestResultElement7#0,"""Questpunkte"""
QuestResultElement8#0,"""Verbleibende Gesundheit der Basis"""
QuestResultElement9#0,"""ＥＱトライアル成功率"""
QuestResultElement11#0,"""A.I.S搭乗回数"""
QuestResultQuestFlag#0,"""Abgeschlossene Quests"""
QuestResultElement12#0,"""今回のスコア"""
QuestResultElement13#0,"""クエスト参加率"""
QuestResultElement14#0,"""ライドロイド被撃墜数"""
QuestResultUnit1#0,""""""
EquipNoteResultElement1#0,"""進行度が上昇したシート（上位５件まで表示）"""
EquipNoteResultProgress#0,"""$(0) の必要アイテムと進行度"""
EquipNoteResultOther#0,"""<yellow>※他にも進行度が上昇したアイテムがあります。<c>"""
EquipNoteResultPercent#0,"""$(1).$(0)%"""
PointValue#0,"""$(0)pt"""
Score#0,"""Punkte"""
Perfect#0,"""? PERFEKT"""
TotalResult#0,"""Gesamtergebnis"""
ErrandResultTitle#0,"""お手伝いしたオーダーの結果"""
ErrandOrderTitle#0,"""手伝ったオーダー"""
ChallengeResultTitle1#0,"""基本リザルト"""
ChallengeResultTitle2#0,"""獲得チャレンジマイル"""
ChallengeResultTitle3#0,"""獲得実績"""
ChallengeResultTitle4#0,"""チャレンジ参加率"""
ChallengeResultTitle5#0,"""獲得チャレンジマイル（ブーストポイント+$(0)%）"""
ChallengeResultTitle6#0,"""チャレンジクリア"""
ChallengeResultSub1#0,"""クリア率"""
ChallengeResultSub2#0,"""MISSION$(0)($(1))"""
ChallengeResultSub3#0,"""マイルクリスタル獲得量"""
ChallengeResultSub4#0,"""Verdientes Meseta"""
ChallengeResultSub5#0,"""Party-Bonus"""
ChallengeResultSub6#0,"""クリア率評価"""
ChallengeResultSub7#0,"""合計マイルボーナス"""
Get#0,"""GET!"""
CollectFileRareDropBoost#0,"""レアドロップ倍率ボーナス適用"""
MenuType_OngoingQuest#0,"""Aktuelle Quest"""
MenuType_OngoingTrial#0,"""Aktuelles Emergency Trial"""
MenuType_QuestCondition#0,"""Questvoraussetzungen"""
MenuType_QuestDestruction#0,"""Quest aufgeben"""
MenuType_BeforeQuestResult#0,"""Vorherige Questergebnisse"""
MenuType_Back#1,"""Zurück"""
MenuType_ExtraQuestConfirm#0,"""キャンペーン内容確認"""
Trial_Title#0,"""Emergency Code Info"""
Trial_Name#0,"""Emergency Code Name"""
Trial_TrialTarget#0,"""Emergency Code Ziel"""
Trial_ExtraTarget#0,"""Zusätzliches Ziel"""
Trial_FailureConditions#0,"""Voraussetzungen für Fehlschlag"""
Trial_Achievement#0,"""Fortschritt"""
Trial_Back#0,"""Zurück"""
Target_Success#0,"""Erfolg!"""
YesText#0,"""Ja"""
NoText#0,"""Nein"""
CloseText#0,"""Schließen"""
OpenText#0,"""Öffnen"""
MaxText#0,"""Max"""
MinText#0,"""Min"""
Sort#0,"""Sortieren"""
Copy#0,"""Kopieren"""
Peaste#0,"""Einfügen"""
NextText#0,"""Nächste"""
PrevText#0,"""Vorherige"""
CancelText#0,"""Abbrechen"""
OKText#0,"""OK"""
ReturnText#0,"""Zurück"""
CheckText#0,"""Nicht erneut anzeigen."""
Q_Event001#0,"""Wir bereiten uns derzeit auf eine groß angelegte Operation mit allen ARKS-Mitgliedern vor."""
Q_Event001_01_MES#0,"""Die ARKS bereiten sich auf eine großangelegte Operation als Reaktion auf feindliche Aktivitäten im Wald von Naberius vor."""
Q_Event001_02_MES#0,"""Die ARKS bereiten sich auf eine großangelegte Operation als Reaktion auf feindliche Aktivitäten in der Tundra von Naberius vor."""
Q_Event001_03_MES#0,"""Die ARKS bereiten sich auf eine großangelegte Operation als Reaktion auf feindliche Aktivitäten in den Ruinen von Naberius vor."""
Q_Event001_04_MES#0,"""Die ARKS bereiten sich auf eine großangelegte Operation als Reaktion auf feindliche Aktivitäten in den Höhlen von Amduscia vor."""
Q_Event001_05_MES#0,"""Die ARKS bereiten sich auf eine großangelegte Operation als Reaktion auf feindliche Aktivitäten auf dem schwebenden Kontinent von Amduscia vor."""
Q_Event001_06_MES#0,"""Die ARKS bereiten sich auf eine großangelegte Operation als Reaktion auf feindliche Aktivitäten in den Wüstenregionen von Lillipa vor."""
Q_Event001_07_MES#0,"""Die ARKS bereiten sich auf eine großangelegte Operation als Reaktion auf feindliche Aktivitäten in den Tunneln von Lillipa vor."""
Q_Event001_08_MES#0,"""Die ARKS bereiten sich auf eine großangelegte Operation als Reaktion auf feindliche Aktivitäten im lillipanischen Steinbruch vor."""
Q_Event001_09_MES#0,"""Die ARKS bereiten sich auf eine großangelegte Operation auf dem befallenen Mutterschiff vor."""
Q_Event001_10_MES#0,"""Die ARKS bereiten sich auf eine großangelegte Operation als Reaktion auf feindliche Aktivitäten in der Shironia Region von Harkotan vor."""
Q_Event001_11_MES#0,"""Die ARKS bereiten sich auf eine großangelegte Operation als Reaktion auf feindliche Aktivitäten in der Kuron Region von Harkotan vor."""
Q_Event001_51_MES#0,"""Alle ARKS werden dazu angewiesen, sich auf eine großangelegte Unterdrückungsoperation auf Naberius vorzubereiten."""
Q_Event001_52_MES#0,"""Alle ARKS werden dazu angewiesen, sich auf eine großangelegte Unterdrückungsoperation auf Amduscia vorzubereiten."""
Q_Event001_53_MES#0,"""Alle ARKS werden dazu angewiesen, sich auf eine großangelegte Unterdrückungsoperation auf Lillipa vorzubereiten."""
Q_Event001_54_MES#0,"""Alle ARKS werden dazu angewiesen, sich auf eine großangelegte Unterdrückungsoperation auf Vopar vorzubereiten."""
Q_Event001_55_MES#0,"""Alle ARKS werden dazu angewiesen, sich auf eine großangelegte Unterdrückungsoperation auf Harkotan vorzubereiten."""
Q_Event001_90_MES#0,"""Die ARKS bereiten sich auf eine großangelegte Operation als Reaktion auf feindliche Aktivitäten in verschiedenen Gebieten vor."""
Q_Event001_91_MES#0,"""Alle ARKS werden dazu angewiesen, sich auf eine großangelegte Unterdrückungsoperation auf verschiedenen Planeten vorzubereiten."""
Q_Event002_MES#0,"""Die Notfallquest ist jetzt aktiv. Wir führen großangelegte Operationen mit der Beteiligung von allen ARKS durch. Bitte wende dich an einen Questschalter, um an der Quest teilzunehmen."""
Q_Event003_MES#0,"""Die großangelegte Operation ist nun beendet. Danke für deine Kooperation."""
R_Event004_MES#0,"""Wir verarbeiten momentan die Ergebnisse des Interrupt Rankings. Bitte haltet euch für weitere Ankündigungen bereit."""
