text01#0,"""Welcome back. You passed the training session<br>with flying colors."""
text02#0,"""You're not out of breath, are you? <br>Because you still have more work to do."""
text03#0,"""By the way, have you ever heard of the Wired<br>Lance Gear skill? I'll let you know all about it<br>when we're done here."""
11_voice_NPC_5054_100#0,"""Please come right after you've caught your breath. You should strike with your all, but don't forget your health."""
text100#0,"""Wired Lance Gear"""
text101#0,"""Once you've learned the Wired Lance Gear skill, a gear gauge is added<br>to the top of your weapon palette.<br><br>The gear gauge fills up as you land blows with standard wired lance attacks."""
text102#0,"""The gear gauge fills up to three bars, and each ensnaring photon art you use<br>consumes one bar. photon arts unleashed using the gear gauge pack more power.<br><br>The gear gauge does not drop over time."""
text01#1,"""ご苦労だった。<br>今の特訓に合格したと認めよう。"""
text02#1,"""どうした？　もう息切れか？<br>まだ次の特訓は残っているんだぞ？"""
text03#1,"""ところでワイヤードランスギアについて<br>知っているか？<br>君に伝えておこう。"""
11_voice_NPC_5054_100#1,"""呼吸を整えたらすぐにも来たまえ。<br>身体が忘れないうちに<br>徹底的に叩き込むといい。"""
text100#1,"""『ワイヤードランスギア』について"""
text101#1,"""ワイヤードランスのギアシステムについて、説明します。<br><br>スキル「ワイヤードランスギア」を習得している場合には<br>武器パレットの上部にギアゲージが追加されます。<br><br>ワイヤードランスの通常攻撃をヒットさせると<br>ギアゲージが蓄積されていきます。"""
text102#1,"""ギアゲージはゲージ単位で最大３つまで蓄積され、<br>ホールド系フォトンアーツを使用するとゲージを１つ分消費します。<br>ギアゲージを消費して放つフォトンアーツは、威力が増大されます。<br><br>時間経過によるギアゲージの減少はありません。"""
