PB#0,"""Photon Blast"""
AA#0,"""Autoaktion"""
TA#0,"""Auslöseraktion"""
Level#0,"""Lv."""
LevelFormat#0,"""Lv.$(0)"""
Confirm#0,"""Bestätigung"""
NotifyAcquirePB#0,"""$(0) hat einen Photon Blast gemeistert."""
Title#0,"""Mag-Liste"""
Command1#0,"""Items geben"""
Command2#0,"""Gerät benutzen"""
Command3#0,"""Ausrüsten"""
Command4#0,"""Entfernen"""
Command5#0,"""Kampfverhalten"""
Command6#0,"""Aktionen prüfen"""
Command7#0,"""Mag-Erscheinungspass einsetzen"""
Title#1,"""Mag-Info"""
Energy#0,"""Energie"""
EnergyParcent#0,"""$(0)%"""
SupportLevel#0,"""Unterstützungslevel"""
Support1#0,"""Striking"""
Support2#0,"""Fernkampf"""
Support3#0,"""Technik"""
Support4#0,"""Geschick"""
Support5#0,"""Strikingvert."""
Support6#0,"""Fernkampfvert."""
Support7#0,"""Technikvert."""
mag_color_change#0,"""Die Farbe des Mags kann nicht verändert werden"""
Detail_Vita#0,"""Mag-Details"""
TA_No0#0,"""0"""
TA_No1#0,"""1"""
TA_No2#0,"""2"""
TA_No3#0,"""3"""
TA_No4#0,"""4"""
TA_No5#0,"""5"""
TA_No6#0,"""6"""
TA_No7#0,"""7"""
TA_No8#0,"""8"""
TA_No9#0,"""9"""
Title#2,"""Gebe Items an den Mag"""
Indicate#0,"""<c f0df60>Wähle Items, die du deinem Mag gibst.<c>"""
Msg1#0,"""Du verfütterst $(0).<br>Bist du sicher?"""
Msg2#0,"""Dieses Item hat eine Seltenheit von 7 oder höher.<br>Bist du sicher, dass du es an deinen Mag verfüttern willst?"""
FeedMsg#0,"""$(0) an den Mag verfüttert."""
Error1#0,"""Du kannst keine weiteren Items geben.<br>Bitte versuche es später erneut."""
MessageTitle#0,"""Items geben"""
ErrorTitle#0,"""Items geben"""
Title#3,"""マグに与えるデバイス"""
Indicate#1,"""<c f0df60>マグに与えるデバイスを選んでください。<c>"""
IndicateCC#0,"""<c f0df60>変更したいマグの色を選んでください。リアルタイムに反映されます。<c>"""
Msg1#1,"""$(0)を使用します。<br>よろしいですか？"""
MsgCC#0,"""$(0)を使用して、<br>マグの色を変更します。よろしいですか？"""
OverwriteMsgPB#0,"""以下のフォトンブラストを上書きします。<br>よろしいですか？"""
OverwriteMsgAA#0,"""以下のオートアクションを上書きします。<br>よろしいですか？"""
OverwriteMsgSAA#0,"""以下のSPオートアクションを上書きします。<br>よろしいですか？"""
OverwriteMsgTA#0,"""以下のトリガーアクションを上書きします。<br>よろしいですか？"""
OverwriteMsgCraftTA#0,"""生産系デバイスは一つしか設定できません。<br>以下のトリガーアクションを上書きします。<br>よろしいですか？"""
OverwriteMsgTAList#0,"""上書きするトリガーアクションを選んでください。"""
OverwriteListTitle#0,"""トリガーアクションの上書き"""
ChangeLooksMsg#0,"""マグに進化デバイスを与えて<br>以下のように進化させます。<br><br>また、使用したことがない進化デバイスの場合、<br>「マグ形態変更パスを使う」で選択可能になります。<br>よろしいですか？"""
ChangeLooksMsg1#0,"""マグに進化デバイスを与えて<br>以下のように進化させます。<br>よろしいですか？<br><br><yellow>※使用したことがある進化デバイスです。<br>\u3000「マグ形態変更パスを使う」から形態を変更する<br>\u3000こともできます。<c>"""
UseDeviceMsg#0,"""$(0)を使用しました。"""
ResetDeviceMsg#0,"""マグを初期状態に戻します。<br>本当に使用しますか？"""
Error#0,"""$(0)を使用できませんでした。"""
ErrorHT#0,"""マグがLv.100になるまで使用できません。"""
ErrorSAA#0,"""マグがLv.200になるまで使用できません。"""
ErrorCraftDevice#0,"""生産系デバイスは一つしか設定できません。"""
ErrorLevelCap#0,"""レベル成長限界に到達しているため<br>使用できません。"""
ErrorAddTA#0,"""このデバイスは、これ以上使用できません。"""
ErrorNoColorChange#0,"""このデバイスは、対象のマグがカラー変更不可のため<br>使用できません。"""
ErrorNonEquip#0,"""このデバイスは、対象のマグを装備していない場合<br>使用できません。"""
ErrorMeaningless#0,"""このデバイスによる効果は、既に適用済みです。<br>使用できません。"""
ErrorLevelLow#0,"""このデバイスは、対象のマグがLv.$(0)になるまで<br>使用できません。"""
ColorTitle#0,"""マグカラー選択"""
ConfirmTitle#0,"""デバイス使用確認"""
MessageTitle#1,"""デバイスを使う"""
ErrorTitle#1,"""デバイスを使う"""
LearningMsgSAA#0,"""$(0)が<br>$(1)を<br>習得しました。"""
Title#4,"""Kampfverhalten"""
Indicate#2,"""Bitte wähle eine Auslöseraktion, deren Priorität du ändern möchtest."""
Msg1#2,"""Die Änderungen an den Prioritäten werden übernommen. Bist du sicher?"""
Msg2#1,"""Priorität der Auslöseraktionen geändert."""
Error1#1,"""Die Priorität der Auslöseraktionen konnte nicht geändert werden."""
MoveTargetMsg#0,"""Zu Priorität $(0) verschieben"""
Update#0,"""Aktualisieren"""
ConfirmTitle#1,"""Prioritätsänderung Auslöseraktionen"""
Title#5,"""Aktionen prüfen"""
TANumber#0,"""$(0)"""
Msg1#3,"""Mag ausgerüstet"""
Msg2#2,"""Mag nicht mehr ausgerüstet"""
Error1#2,"""Der Mag konnte nicht ausgerüstet werden.<br><br>[No.2200]"""
Error2#0,"""Der Mag konnte nicht entfern werden.<br><br>[No.2201]"""
