Title#0,"""Defensa de bases: Incursion"""
Explanation#0,"""アークス各員に緊急連絡。<br>惑星リリーパの採掘基地周辺に<br>多数のダーカーの反応を確認した。<br>新たに設置された防護壁によって<br>全基地への同時襲撃は回避できるが<br>防護壁の耐久力にも限度がある。<br>各員、ダーカーの侵入を阻止、撃退せよ。<br>――――――――――――――――――――<br>Clear 6 waves<br>Fracaso: Perder todas las bases"""
SimpleExplanation#0,"""Defiende la base minera!"""
Wave1_Talk#0,"""Han aparecido mas Darkers!<br>No sabemos que base atacaran!.<br>Trabajen en equipo y defiendan las bases!"""
Wave2_Talk#0,"""Aqui vieen el proximo ataque!<br>todos, trabajen en equipo<br>para defender al base!"""
Wave3_Talk#0,"""Le-lecturas no identificadas!<br>Crek que los Darkers atacaran con su artilleria pesada!<br>Localiza y destruye sus armas!"""
Wave4_Talk#0,"""Wh-whoa! Estamos recibiendo una gran cantidad de fuertes lecturas! por favor, ten cuidado!"""
Wave5_Talk#0,"""Wh-whoa, tenemos lecturas increiblemente fuertes...!<br>Podrian aparecer muchisimos Darkers!"""
Wave6_Talk#0,"""Este parece ser el ultimo!<br>espera solo un poco mas!<br>Sige protegiendo la base!"""
NpcComMsg1#0,"""Empezaremos pronto!<br>Segun estas lecturas, los Darkers atacaran en multiples<br>oleadas. por favor ten cuidado!"""
NpcComMsg2#0,"""Puedes mejorar las defensas usando<br>la energia de los cristales en el suelo.<br>Buena suerte! cambio y fuera!"""
a1#0,"""Completar cierta orden del cliente."""
a2#0,"""Completar cierta orden del cliente."""
a3#0,"""Poseer la licencia para Super Dificil."""
a4#0,"""Poseer la licencia para Super Dificil."""
