name01#0,"""ヒルダ"""
name02#0,"""回避移動"""
11_voice_navi02_118#0,"""さて、ここからは実戦技術だ。<br>戦闘を有利に運ぶためのものだな。"""
11_voice_navi02_119#0,"""防御は最大の攻撃。<br>まず、エネミーからの攻撃回避方法だ。"""
11_voice_navi02_120#0,"""よし、これも習うより慣れろだ。<br>実際に避けてみせろ。"""
text00#0,"""『回避方法』について"""
text01#0,"""<%Avoid>で、<br>回避アクションを行います。<br><br>敵の攻撃やトラップなどを、<br>タイミングよく回避しましょう。"""
text02#0,"""左スティック＋<%Avoid>を短く押すと、<br>回避アクションを行います。<br><br>敵の攻撃やトラップなどを、<br>タイミングよく回避しましょう。"""
text100#0,"""移動キーを２回押して回避を行え！"""
text101#0,"""<%Avoid>で回避を行え！"""
text1000#0,"""移動キー２回押して回避を行え！"""
text1001#0,"""<%Avoid>で回避を行え！"""
text201#0,"""回避を行え！"""
text202#0,"""回避を行え！"""
text203#0,"""回避：移動キーを２回押す"""
text204#0,"""回避：<%Avoid>"""
text205#0,"""回避：左スティック＋<%Avoid>"""
11_voice_navi02_118#1,"""さて、ここからは実戦技術だ。<br>戦闘を有利に運ぶためのものだな。"""
11_voice_navi02_119#1,"""防御は最大の攻撃。<br>まず、エネミーからの攻撃回避方法だ。"""
11_voice_navi02_120#1,"""よし、これも習うより慣れろだ。<br>実際に避けてみせろ。"""
text00#1,"""『回避方法』について"""
text01#1,"""チュートリアル<br>キャラクターの『回避方法』について説明します。"""
text02#1,"""同じ方向の移動キーを２回押すことで、キャラクターが<br>移動方向へ回避を行います。<br><br>装備している武器により、回避アクションは変化します。"""
text03#0,"""<%Avoid>を押すことで、キャラクターが<br>移動方向へ回避を行います。<br><br>装備している武器により、回避アクションは変化します。"""
text100#1,"""移動キーを２回押して回避を行え！"""
text101#1,"""<%Avoid>で回避を行え！"""
text1000#1,"""移動キー２回押して回避を行え！"""
text1001#1,"""<%Avoid>で回避を行え！"""
