text01#0,"""Weapon proficiency takes daily practice.<br>The more training you do, the more you'll improve."""
text02#0,"""You may find it hard and exhausting at first, but<br>the more boot camps you complete, the more<br>you'll start to enjoy the process."""
11_voice_NPC_5057_100#0,"""I've sent out countless students like that. So just put your mind at ease and follow me."""
text100#0,"""Wands"""
text101#0,"""This is an explanation of the wands gear system.<br><br>By learning the ""wands"" skill, a gear gauge<br>will be added to the top of the Weapon Palette.<br><br>The wands gear gauge charges by landing<br>hits with charged techniques.<br><br>Fire charged techniques by holding the palette<br>that is set to techniques."""
text102#0,"""As the gear gauge rises, elemental damage will be added to<br>your standard attack, so use this to your advantage in battles.<br><br>The gauge drops over time, so try to fight by unleashing charged<br>techniques at appropriate intervals."""
text01#1,"""武器の扱いとは一日にしてならず。<br>特訓すればするほど、その扱いは<br>上達していくものよ。"""
text02#1,"""最初は辛く、苦しいと思う特訓も<br>一つ一つ出来ることが増えるたびに<br>どんどん気持ちよくなっていく。"""
11_voice_NPC_5057_100#1,"""そういう教え子を<br>私は何人も送り出してきた。<br>だから、貴方も安心して従いなさい。"""
text100#1,"""『ウォンドギア』について"""
text101#1,"""ウォンドのギアシステムについて、説明します。<br><br>スキル「ウォンドギア」を習得している場合には<br>武器パレットの上部にギアゲージが追加されます。<br><br>ウォンドのギアゲージは、チャージテクニックを<br>ヒットさせることにより蓄積されます。<br><br>テクニックがセットされたパレットを長押しすることで<br>チャージテクニックを放つことができます。"""
text102#1,"""ギアゲージが高まると通常攻撃に属性ダメージが追加され<br>戦闘を有利に進めることができます。<br><br>ウォンドギアのゲージは時間経過で減少するため<br>適度にチャージテクニックを発動しながら戦うとよいでしょう。"""
