name01#0,"""Brigitta"""
name01#1,"""ブリギッタ"""
skit01#0,"""...respond. Please respond!<br>Ah, great. I finally got through!<br>Are you okay?"""
skit02#0,"""The comm suddenly cut out. What the heck happened?"""
skit03#0,"""Right before the comm cut out, I feel like I saw a shadow or something..."""
skit04#0,"""...No, first we should be happy that you made it back safe.<br>We'll collect you now."""
skit01#1,"""……ください。応答してください！<br>あっ、よかった、やっと通じた！<br>ご無事ですか？"""
skit02#1,"""いきなり通信が途切れてしまって<br>一体何だったんでしょう？"""
skit03#1,"""通信が途切れる直前<br>人影のようなものが見えたような<br>気もするのですが……"""
skit04#1,"""……いえ、まずは無事の帰還を<br>喜ぶべきですね。<br>これより回収します。"""
skit01#0,"""/ci1 2 There's an absurd amount of them...What are they trying to do in such large numbers...?"""
skit01#1,"""/ci1 2 すさまじい数ですね……<br>何が目的でこれほどの……"""
