IncidentName#0,"""Break Out of the Quarantine!"""
TrialBeginMsg#0,"""Defeat $(0) enemies to break out of the quarantine!"""
TrialAbstract#0,"""Defeat $(0) enemies to break out of the quarantine!"""
NpcComOnBegin#0,"""That's... a quarantine trap! <br>Please exterminate the enemies, <br>then use a Catapult to return."""
NpcComOnSuccess#0,"""/face2 Confirmed extermination of <br>enemy forces. Please, use a <br>Catapult and move on."""
NpcComOnFailure#0,"""/face4 The trap was a... distraction. <br>They've managed to stall you. <br>Please, hurry up and escape."""
NpcComOnBegin#1,"""A quarantine trap? How impertinent. <br>Everyone, clear out that island, then <br>use the equipment to escape it."""
NpcComOnSuccess#1,"""Good, confirmed that the <br>enemies have been wiped <br>out. Escape and move on."""
NpcComOnFailure#1,"""Tch, the purpose of that was <br>to keep you confined. Use a <br>Catapult and hurry on ahead."""
NpcComOnBegin#2,"""Ahhh, a trap, it's a trap! Please, <br>Derrotar a enemies first, then <br>use a device to escape!"""
NpcComOnSuccess#2,"""/face2 Use a Catapult! <br>Please go on ahead!"""
NpcComOnFailure#2,"""/face4 Oooh... the aim of this trap <br>was to stall you as much as <br>possible... Please, hurry ahead!"""
