wh_mainhelp#0,"""はじめに"""
wh_inventory#0,"""Inventar / Gegenstände"""
wh_pallet_customize#0,"""Inventar / Benutzerdefiniert"""
wh_mag#0,"""Inventar / Mags"""
wh_pet#0,"""Inventar / Pets"""
wh_equip_note_menu#0,"""Inventar / Sammelalbum"""
wh_equip#0,"""Ausrüstung / Waffen ausrüsten"""
wh_equip_accessory#0,"""Ausrüsten / Accessoires wechseln"""
wh_equip_protector#0,"""Ausrüstung / Rüstung ausrüsten"""
wh_equip_fashion#0,"""装備 / ファッション編集"""
wh_fashioncat#0,"""装備 / コーデカタログ"""
wh_fashioncat_ranking#0,"""装備 / みんなのコーデを見る"""
wh_fashioncat_search#0,"""装備 / みんなのコーデから検索"""
wh_fashioncat_register#0,"""装備 / 自分のコーデを登録"""
wh_fashioncat_confirm#0,"""装備 / 登録中のコーデを確認"""
wh_fashioncat_profile#0,"""装備 / コーデ情報"""
wh_favfashion#0,"""装備 / ブックマーク"""
wh_equip_subpallet#0,"""装備 / サブパレット編集"""
wh_friendlist#0,"""Community / Freundesliste"""
wh_team01#0,"""Community / Team-Befehle"""
wh_party#0,"""Community / Gruppenbefehle"""
wh_mail#0,"""Community / Post"""
wh_playerlist#0,"""コミュニティ / 周囲のキャラクター"""
wh_charainfo#0,"""マイデータ / キャラクター情報"""
wh_license#0,"""マイデータ / 称号リスト"""
wh_communicationlist#0,"""マイデータ / コミュニケーション履歴"""
wh_profile_info#0,"""マイデータ / アークスカード編集"""
wh_matterboard#0,"""クエスト / マターボード"""
wh_storyboard#0,"""Quests / Storyboards"""
wh_storyboard_questrank#0,"""クエスト / ストーリークエストの難易度"""
wh_clientorder#0,"""Quests / Client Orders"""
wh_bingo#0,"""クエスト / アークスビンゴカード"""
wh_arksleague#0,"""クエスト / アークスリーグ"""
wh_arcsload#0,"""クエスト / アークスロード"""
wh_questinfo#0,"""Quests / Questinfo"""
wh_qu_defense_friend#0,"""クエスト / 防衛結果"""
wh_recommend#0,"""クエスト / おすすめクエスト"""
wh_campaignquest#0,"""クエスト / キャンペーンクエスト"""
wh_symbolart#0,"""システム / シンボルアート"""
wh_macro#0,"""System / Chat-Einstellungen"""
wh_config#0,"""System / Optionen"""
wh_logwindow#0,"""システム / ログウィンドウ"""
wh_loginstamp#0,"""System / Loginstempel"""
wh_es#0,"""システム / es連動"""
wh_acshop#0,"""ACメニュー / ACショップ"""
wh_sgshop#0,"""ACメニュー / スタージェム購入"""
wh_gacha#0,"""ACメニュー / スクラッチ"""
wh_history#0,"""ACメニュー / 購入履歴"""
wh_expirationdate#0,"""ACメニュー / レンタル有効期限"""
wh_logout#0,"""Abmelden"""
wh_selectmenu#0,"""Schnellmenü"""
wh_visifon#0,"""ビジフォン"""
wh_myshop#0,"""ビジフォン / マイショップ"""
wh_myshop_sell#0,"""ビジフォン / マイショップ管理"""
wh_partner_registration#0,"""ビジフォン / フレンドパートナー登録"""
wh_profile#0,"""ビジフォン / アークスカード編集"""
wh_arcssearch#0,"""ビジフォン / アークスサーチ"""
wh_library#0,"""ビジフォン / 図鑑"""
