IncidentName#0,"""イグニクスから逃れ、元凶を撃破せよ！"""
TrialBeginMsg#0,"""元凶のエネミーを倒し<br>イグニクスを停止させろ！"""
TrialAbstract#0,"""元凶のエネミーを倒し<br>イグニクスを停止させろ！"""
NpcComOnBegin#0,"""異常エネルギーの爆発を検知！<br>これは、イグニクスと呼称される<br>ダーカーの空間制圧兵器です！"""
NpcComOnBegin1#0,"""イグニクスは時間と共に範囲を広げ<br>脅威を増していきます！<br>至急、その場から移動してください！"""
NpcComOnBegin2#0,"""どこかに元凶となる敵性存在が<br>いるはずです。爆発に注意しつつ<br>早急な撃破をお願いします！"""
NpcComBossInfo#0,"""$(0)！<br>そのエネミーが現象の元凶です！<br>至急撃破を！"""
NpcComOnSuccess#0,"""敵性存在の消失確認と同時に<br>イグニクスの反応も消滅しました。<br>お疲れ様でした。"""
NpcComOnBegin#1,"""イグニクスと呼称されている<br>ダーカーの空間制圧兵器の発動を確認。<br>至急、その場から移動しろ。"""
NpcComOnBegin1#1,"""イグニクスは時間とともに<br>その効果範囲を広げる性質を持つ。"""
NpcComOnBegin2#1,"""どこかに元凶となる存在がいるはずだ。<br>早急に見つけだし、撃破しろ。"""
NpcComBossInfo#1,"""$(0)か。<br>そいつが元凶のようだな。<br>ただちに撃破しろ。"""
NpcComOnSuccess#1,"""敵性反応の消失とともに<br>イグニクスの反応も消滅を確認。<br>よし、通常任務に戻れ。"""
NpcComOnBegin#2,"""ええっ？\u3000爆発！？<br>これはもしかして、イグニクス！"""
NpcComOnBegin1#2,"""その辺に爆発を発生させる<br>ダーカーの兵器ですよー！<br>危険、危険です！\u3000急いで逃げてー！"""
NpcComOnBegin2#2,"""どこかにイグニクスを発生させている<br>わるーい、敵さんがいます！<br>探して倒しちゃってください！"""
NpcComBossInfo#2,"""あっ、$(0)！<br>あれが原因です！\u3000あいつのせいです！<br>急いで撃破しちゃってくださいー！"""
NpcComOnSuccess#2,"""敵性反応の消失にあわせて<br>イグニクスの沈静化を確認しましたー！<br>ふぅー、よかったです！"""
