IncidentName#0,"""Derrotar a $(0)"""
TrialBeginMsg#0,"""Derrotar a $(0)!"""
TrialAbstract#0,"""Derrotar a $(0)!"""
NpcComOnBegin#0,"""Directiva urgente.<br>Confirmada poderosas lecturas enemigas.<br>Por favor derrotar inmediatamente."""
NpcComOnSuccess#0,"""/face2 Enemy readings have disappeared,<br>thanks to your hard work."""
NpcComOnFailure#0,"""/face4 Lecturas de grupo que participan<br>han desaparecido. teletransporta<br>inmediata al Campship."""
HP_Under_50#0,"""El $(0) se esta cansando!"""
HP_Under_10#0,"""A $(0) le queda muy poca fuerza!"""
NpcComLastEnemy#0,"""Queda uno!"""
NpcComOnBegin#1,"""Esto es urgente. Se han detectado<br>poderosas lecturas enemigas.<br>Derrotalo lo antes posible."""
NpcComOnSuccess#1,"""Se a confirmado que las lecturas<br>enemigas han desaparecido. Bien hecho."""
NpcComOnFailure#1,"""Tch, they've taken a beating.<br>Teleporting them to Campship."""
HP_Under_50#1,"""$(0) se esta cansando!"""
HP_Under_10#1,"""$(0) esta muy debil!"""
NpcComLastEnemy#1,"""One left! Don't lose focus!"""
