IncidentName#0,"""Recuperar los minerales raros!"""
TrialBeginMsg#0,"""Recupera los minerales raros!"""
TrialAbstract#0,"""Recoger las muestras dispersas de minerales raros!"""
ToastPickup#0,"""Has recogido $(0) $(1) muestras."""
ToastCollect#0,"""$(0) deposito $(1) Muestra(s)."""
ToastRewards#0,"""$(0) deposito $(1) Muestra(s). Recibes $(2) EXP y $(3) Mesetas."""
NpcComOnBegin#0,"""Esta es una orden.<br>se han detectado lecturas de un raro mineral.<br>Todos los Arks preparence para reunir estos minerales."""
NpcComOnBeginAtRareCase#0,"""Esto es urgente. Estos minerales <br>son de una lectura inconfundible. <br>Solo tenemos un tiempo limitado.<br>Todo el mundo, tienen la tarea<br>lde reunir los minerales rapidamente."""
NpcComOnSuccess#0,"""Muy bien, la coleccion fue confirmada.<br>Bien hecho."""
NpcComOnFailure#0,"""Mmm, No recogio la cantidad necesaria.<br>Regrese a su mision principal."""
GoodsPosition#0,"""Obtencion de mineral raro lecturas de $(0)."""
RepopGoods#0,"""Han sido confirmado un nuevo objeto<br>para recoger todo el mundo debe<br>proceder a recogerlos."""
OnAccessPodByEmptyHand#0,"""Recoger minerales en primer lugar.<br>A continuacion, depositalos en la vaina."""
Collect1st#0,"""Bueno, confirmo el transporte de un mineral raro.<br>Continuar con la recoleccion."""
CollectHalf#0,"""Muy bien, se ha logrado reunir la mitad de nuestra cuota.<br>Sigue asi."""
CollectMostly#0,"""Se ha confirmado la recuperacion de varios minerales. Solo quedan unos pocos. Bien hecho."""
Pickup1st#0,"""Aha, un mineral raro! Estas cosas<br>son dificiles de encontrar"""
PickupHalf#0,"""Bueno, usted tiene la mitad.<br>No se olvide de llevarlos a la vaina."""
PickupEnough#0,"""Usted ha completado la cuota<br>ahora llevarlos a la estacion ASAP."""
TimeupWarning#0,"""Nuestro tiempo se esta agotando.<br>Todo el mundo, acelere la busqueda."""
TimeupEmergency#0,"""Ya no queda mucho tiempo.<br> Todo el mundo, acelere la recoleccion."""
