name01#0,"""Astarte"""
text01#0,"""En este caso, hablemos de los Photones."""
text02#0,"""Su vision es impresionante. Espero sus futuros esfuerzos dentro de los ARKS."""
text03#0,"""Su comprension sobre los photones es impresionante. Aqui hay una recompensa por obtener una puntuacion perfecta en el examen."""
text04#0,"""Recibido 『Anti』 de Astarte."""
text05#0,"""Si usted esta interesado en otros temas, por favor no dude en desafiarse."""
text06#0,"""Has contestado todo correctamente. Si desea refrescar su memoria, no dude en volver."""
text07#0,"""Usted ha contestado todo correctamente en el desafio anterior. Si desea refrescar su memoria, no dude en volver."""
text00#0,"""No solo en accion con ARKS, sino tambien en la nave ARKS. Los photones son esenciales para nuestras vidas."""
text07#1,"""Se caracteriza como una particula insipida, inodora e incolora. No puedes reconocerlo como es. Usted necesitara obtener grandes cantidades para usarlo."""
text08#0,"""Asi que, para convertirse en un ARKS. ¿Cuales son las cualidades esenciales necesarias?"""
text01#1,"""Capacidad para generar photones desde el aire"""
text02#1,"""Potencia para crear equipos a partir de photones"""
text03#1,"""El poder de convertir los photones en energia"""
text04#1,"""Incorrecto. Los photones no necesitan ser creados ya existen en la atmosfera."""
text09#0,"""La respuesta correcta es convertir los photones en energia. Es una cualidad esencial requerida por ARKS."""
text10#0,"""Los ARKS atraen los photones a sus cuerpos, convirtiendolos en energia. Luego se le da a un arma o se libera como un ataque."""
text05#1,"""Incorrecto. La naturaleza de los photones hace imposible hacerlo."""
text11#0,"""La respuesta correcta es convertir los photones en energia. Es una cualidad esencial requerida por ARKS."""
text12#0,"""Los ARKS atraen los photones a sus cuerpos, convirtiendolos en energia. Luego se le da a un arma o se libera como un ataque."""
text06#1,"""Correct. Converting Photons into energy. Those who can do this can become ARKS."""
text13#0,"""Los ARKS atraen los photones a sus cuerpos, convirtiendolos en energia. Luego se le da a un arma o se libera como un ataque."""
text00#1,"""Vamos a probar su conocimiento sobre la tecnologia de batalla con los photones."""
text07#2,"""Acciones de combate espec�ficas de armas usando photones. Puede usar esto para realizar ataques usando photones. �Como le llamas a esto?"""
text01#2,"""Photon Arts"""
text02#2,"""Skill pasivas"""
text03#2,"""Sistema Gear"""
text04#2,"""Correcto."""
text08#1,"""Photon Arts Son diferentes por arma. No se olvide de configurarlos despues de cambiar de armas."""
text05#2,"""Incorrecto."""
text09#1,"""Convertir la energia de los photones en un ataque, y libera un poderoso movimiento, llamado Photon Arts."""
text06#2,"""Incorrecto."""
text10#1,"""Convertir la energia de los photones en un ataque, y libera un poderoso movimiento, llamado Photon Arts."""
text00#2,"""�sa no es la �nica manera de utilizar la tecnologia con los photones."""
text07#3,"""Convertir y liberar photones en elementos. ¿Como se llama este tipo de tecnologia?"""
text01#3,"""Magic"""
text02#3,"""Technique"""
text03#3,"""Special Ability"""
text04#3,"""Incorrecto. Estabas cerca, sin embargo el termino correcto es //Technique//"""
text08#2,"""Absorbe los photones, crea elementos y lo libera en un enemigo. Es la tecnologia a la que los Force estan bien adaptados."""
text05#3,"""Correcto."""
text09#2,"""Absorbe los photones, crea elementos y lo libera en un enemigo. Es la tecnologia a la que los Force estan bien adaptados."""
text06#3,"""Incorrect. That is the term of the process granted to Weapons and Units."""
text10#2,"""It's properly known as 「Technique」."""
text11#1,"""Absorbe los photones, crea elementos y lo libera en un enemigo. Es la tecnologia a la que los Force estan bien adaptados."""
