name01#0,"""Patty"""
name02#0,"""Tea"""
name01#1,"""パティ"""
name02#1,"""ティア"""
text01#0,"""Thanks for accepting this request.<br>It looks like Patty unilaterally wants<br>us to go together on intel gathering."""
text02#0,"""Tea, you have things to do, and I was just looking for a good partner... And then that's exactly when you showed up!"""
text03#0,"""Not just anyone can do<br>Patty and Tea's intel gathering...<br>In other words, it's just the two of us!"""
text04#0,"""But you comparatively listen to other people.<br>...are you really okay, Patty?"""
11_voice_NPC_5013_100#0,"""Sure, I'm fine!<br>You really are a worrier, Tea!<br>Just leave it to me and this person!"""
11_voice_NPC_5014_104#0,"""Yeah, I'm actually worried about the damage you'll do to the area ...sorry, please take care of my stupid sister."""
text01#1,"""依頼の受注、ありがとうございます。<br>なんでも、パティちゃんの自主的な<br>情報収集に付き合って欲しいそうで。"""
text02#1,"""ちょうどティアも用事があるし<br>いい相方を探してたんだよねー……<br>そこで、ずばり、アナタだよ！"""
text03#1,"""パティエンティアの情報収集は<br>誰にも気取られることなく行う……<br>つまり、あたしと二人きりだ！"""
text04#1,"""そのわりに人から話聞いたりするけど。<br>……本当に大丈夫なの、パティちゃん？"""
11_voice_NPC_5013_100#1,"""大丈夫大丈夫！<br>心配性だな－、ティアは！<br>あたしとこの人に任せなさい！"""
11_voice_NPC_5014_104#1,"""いや、私が心配してるのは周囲への<br>被害なんだけど……すみません<br>うちのバカ姉をよろしくお願いします。"""
