un_046040_0010#0,"""はっ……はっ……！"""
un_046040_0015#0,"""やあ、マイフレンド！<br>ばたばたしていてすまないね！"""
un_046040_0020#0,"""ときにマイフレンド、君はどこかで<br>ジョセフィーヌを見なかったかい！？"""
un_046040_0030#0,"""１．見てない"""
un_046040_0040#0,"""２．ナベリウスで見た"""
un_046040_0050#0,"""そうか……<br>くっ……ジョセフィーヌ……<br>一体どこに……！"""
un_046040_0060#0,"""何だって、ナベリウスで！？<br>どんな感じだったか教えてくれるかい！"""
un_046040_0070#0,"""ふむふむ、赤くて、鮮やかな色合いで……"""
un_046040_0075#0,"""それアギニスだね！\u3000ジョセフィーヌと違うね！"""
un_046040_0080#0,"""実はジョセフィーヌが家出したようで……<br>他の作業中、目を離した一瞬の隙に<br>どこかへ飛び去ってしまったんだよ！"""
un_046040_0090#0,"""アークスシップの外には出てないと思うが<br>……ああ、愛しのジョセフィーヌ。<br>君はいったい、いずこへ……！"""
un_046040_0100#0,"""……いや、これは僕の愛への挑戦だね！<br>僕を試しているんだね、ジョセフィーヌ！<br>ならば、追いついてみせようじゃないか！"""
un_046040_0110#0,"""マイフレンド！<br>それでは、また！"""
