11_voice_NPC_5052_106#0,"""You seem pretty reliable. Is it because you're a member of ARKS?"""
11_voice_NPC_5052_102#0,"""You look like you can handle yourself pretty well! Though, if I let out my hidden power, you'd fall to my feet!"""
11_voice_NPC_5052_102#0,"""You look like you can handle yourself pretty well! Though, if I let out my hidden power, you'd fall to my feet!"""
11_voice_NPC_5052_100#0,"""Admitting when something is amazing is the duty of all powerful people!"""
11_voice_NPC_5052_100#1,"""Admitting when something is amazing is the duty of all powerful people!"""
11_voice_NPC_5052_100#2,"""Admitting when something is amazing is the duty of all powerful people!"""
11_voice_NPC_5052_101#0,"""Well, well. You've certainly been doing well lately, haven't you? You can speak to me in a relaxed manner."""
11_voice_NPC_5052_101#0,"""Well, well. You've certainly been doing well lately, haven't you? You can speak to me in a relaxed manner."""
11_voice_NPC_5052_101#0,"""Well, well. You've certainly been doing well lately, haven't you? You can speak to me in a relaxed manner."""
11_voice_NPC_5052_101#0,"""Well, well. You've certainly been doing well lately, haven't you? You can speak to me in a relaxed manner."""
11_voice_NPC_5052_101#0,"""Well, well. You've certainly been doing well lately, haven't you? You can speak to me in a relaxed manner."""
11_voice_NPC_5052_101#5,"""I wouldn't mind if you told people that you wound up the way you are because I was there for you. Okay?"""
11_voice_NPC_5052_101#6,"""I wouldn't mind if you told people that you wound up the way you are because I was there for you. Okay?"""
11_voice_NPC_5052_101#7,"""I wouldn't mind if you told people that you wound up the way you are because I was there for you. Okay?"""
