name01#0,"""Astarte"""
text01#0,"""This is the Support Partner award procedure."""
text02#0,"""Telling you all of this orally would take a <br>long time. So I've prepared more detailed <br>guidance for you. Please have a look at this."""
text03#0,"""Good work.<br>The guidance is complete.<br>Now then, I'm counting on you."""
name01#1,"""アスタルテ"""
text01#1,"""サポートパートナー<br>授与手続きですね。"""
text02#1,"""口頭では少々長くなりそうですので<br>詳細なガイダンスを準備しました。<br>こちらをご覧下さい。"""
text03#1,"""お疲れ様でした。<br>以上でガイダンスは終了です。<br>それでは、よろしくお願いします。"""
text00#0,"""About \""Support Partners\""."""
text01#0,"""Support Partners are heartening characters there to help you in battle or with Client Orders.<br><br>Overall, their special characteristic is the fact that their bodies are small."""
text02#0,"""Support Partners will you out a bit with Client Orders.<br>When you ask it to help you with a Client Order, it will go out in search of things it needs to complete its objective.<br><br>When its search is completed, it will inform you of the results.<br>By sending Support Partners out on searches many times, their Class Level will increase, and they will be able to easily complete more difficult Requests. They will also then be able to be a big help on the battlefield."""
text03#0,"""You can change the look of a Support Partner at the Salon.<br>The parts you can change are the same as the ones you can change about the player character.<br><br>They handle accessories and hair styles the same way as player characters do. Each time you use a ticket, their options increase.<br>(You can also put hair styles on them from the opposite gender)"""
text04#0,"""Just like Partner characters or Friend Partners, you can call them out at the Partner Terminal to go on a quest with you and battle together.<br><br>Their actions in battle differ based on their personalities."""
text00#1,"""『サポートパートナー』について"""
text01#1,"""サポートパートナーは、<br>戦闘やクライアントオーダーなどを<br>手伝ってくれる心強い存在です。<br><br>全体的に体つきが小さいところが特徴です。"""
text02#1,"""サポートパートナーは、<br>一部のクライアントオーダーの<br>手助けをしてくれます。<br>クライアントオーダーの手助けをお願いすると、<br>サポートパートナーは目的達成のため<br>探索にでかけます。<br><br>探索を終えると、その成果の報告をしてくれます。<br>探索を繰り返すことでサポートパートナーの<br>クラスレベルが上がり、より難しいオーダーを<br>成功させやすくなり、戦闘でも大きな戦力と<br>なっていきます。"""
text03#1,"""サポートパートナーの姿はエステで<br>変更することができます。<br>変更できる項目はプレイヤーキャラクターと<br>同じです。<br><br>アクセサリーや髪型は、<br>プレイヤーキャラクターと共有となっているため、<br>各チケットの使用により増えていきます。<br>（異性の髪型なども使用できるようになっています）<br>"""
text04#1,"""パートナーキャラクターやフレンドパートナーと<br>同じようにキャンプシップの<br>「パートナー呼び出し端末」から、<br>サポートパートナーを呼び出し、<br>一緒に戦うこともできます。<br><br>サポートパートナーの行動は、<br>その時の性格により変化します。"""
