name01#0,"""Hilda"""
name02#0,"""Bewegung"""
skit00#0,"""Möchtest du das Tutorial anschauen?"""
skit01#0,"""Tutorial anschauen"""
skit02#0,"""Tutorial nicht anschauen"""
11_voice_navi02_100#0,"""Hallo, mein Name ist Hilda.<br>Ich bin die Leiterin dieser Trainingseinheit."""
11_voice_navi02_101#0,"""Wir haben nicht viel Zeit, also los.<br>Als erstes die Grundlagen."""
11_voice_navi02_102#0,"""Versuch dich zur markierten<br>Position zu bewegen. Keine Eile."""
text01#0,"""Tutorial<br>Die 『Steuerung』"""
text02#0,"""So kannst du dich bewegen.<br><br>Vorwärts: <%MoveForward><br>Rückwärts: <%MoveBack><br>Links: <%MoveLeft><br>Rechts: <%MoveRight>"""
text03#0,"""Benutze zum bewegen den<br><yellow>Linken Stick<c>"""
text100#0,"""Drücke <%MoveForward>、<%MoveBack>、<%MoveLeft>、<%MoveRight> um dich zum Ziel zu bewegen."""
text101#0,"""Bewege dich mit dem linken Stick auf das Ziel zu."""
text1000#0,"""Bewege dich <%MoveForward><%MoveBack><%MoveLeft><%MoveRight>"""
text1001#0,"""Bewege dich mit dem linken Stick."""
text201#0,"""Begib dich zum Punkt!"""
text202#0,"""Begib dich zum Punkt!"""
text203#0,"""Vorwärts:<%MoveForward><br>Rückwärts:<%MoveBack><br>Links：<%MoveLeft><br>Rechts：<%MoveRight>"""
text204#0,"""Bewegen:Linker Stick"""
linewindow#0,"""<br>Die 『Kamera』<br>"""
text00#0,"""Über die 『Kamera』"""
text01#1,"""Tutorial<br>Die 『Kamera』"""
text02#1,"""Wie man die 『Kamera』 benutzt"""
text03#1,"""Du kannst die Kamera mit der <yellow>Maus<c> steuern."""
text04#0,"""Du kannst die Kamera mit dem <yellow>rechen Stick<c> steuern."""
text05#0,"""Setz die Kamera zurück, indem du<br><%LockOn_N> drückst."""
text06#0,"""Setz die Kamera zurück, indem du<br><%LockOn_N> drückst"""
text07#0,"""Du kannst die Kameraeinstellungen<br>im Optionsmenü ändern."""
text08#0,"""Wenn du von 「Normal」→「Invertiert」 wechselst,<br>wird die Steuerung umgekehrt.<br>Die Einstellung kann für die Waffe geändert werden.<br><br>Passe sie damit deinem Stil an."""
