name01#0,"""Echo"""
name01#1,"""エコー"""
linewindow001#0,"""You've achieved the objective for the client order<br>""A Secret Request."""""
11_voice_NPC_5002_104#0,"""You and Zeno… You two are so good at what you<br>do that you want to save everyone, and you<br>could probably do it, too."""
text02#0,"""But once you start, there's going to be no end to it.<br>Everyone will start asking you for help."""
text03#0,"""Oh, sorry. Never mind all that. In fact, just forget<br>I even said it."""
text04#0,"""Sorry for blabbering on like that. I have your<br>reward waiting for you, so meet me at the<br>usual spot, okay?"""
linewindow001#1,"""<br>クライアントオーダー「ナイショの依頼」の目標を達成しました。<br>"""
11_voice_NPC_5002_104#1,"""……ゼノや、きみはさ<br>強いから、見えるもの全部救おうとして<br>実際全部救っちゃうんだよね、きっと。"""
text02#1,"""でも、そうしてると<br>みんなが助けて助けてって寄ってきて<br>その両手に余るようになっちゃって……"""
text03#1,"""……ううん、ごめん、忘れて。<br>そんなの気にしなくても大丈夫。<br>そんなことは、もう、ないから。"""
text04#1,"""ごめんね、一人で勝手にぶつぶつと。<br>報酬、きちんと用意してるから<br>いつものところで、待ってるね。"""
