name01#0,"""Lisa"""
name01#1,"""リサ"""
11_voice_NPC_5026_100#0,"""Ooh! Time for some rifle practice?"""
text02#0,"""I may have said rifles are great at all distances,<br>but Rangers aren't the toughest class, so...<br>I'd shoot from a distance if I were you."""
text03#0,"""Oh, I know! I'll tell you how to aim at hostiles<br>before you begin."""
text04#0,"""Okay, okay, now just go for the kill without<br>getting yourself killed."""
text100#0,"""Shoulder View"""
text101#0,"""The shoulder cam is a special camera mode for ranged weapons.<br>Use it when you need to make precision attacks."""
text102#0,"""Press <%ChangeView> to switch the camera view.<br><br>Use the mouse to move the cursor."""
text103#0,"""Press <%ChangeView> to switch the camera view.<br><br>Use the right stick to move the cursor."""
text104#0,"""To return to the previous camera view, press <%ChangeView> again.<br><br>Shoulder View is extremely important when you want<br>to make accurate ranged attacks."""
11_voice_NPC_5026_100#1,"""あらあらあ？　アサルトライフルの<br>練習、やってみちゃうんですかあ？"""
text02#1,"""全距離対応とは言いましたが<br>レンジャーはあんまりカタくないです。<br>距離をとって戦ってくださいねえ。"""
text03#1,"""そうだ！<br>練習を始める前に敵さんの狙い方を<br>説明しますねえ。"""
text04#1,"""ではでは、死なない程度に<br>殺してきちゃってくださいねえ。"""
text100#1,"""『肩越し視点』について"""
text101#1,"""『肩越し視点』について説明します。<br><br>肩越し視点は、より精密な攻撃を行いたい場合等<br>射撃武器を想定した専用の視点モードです。"""
text102#1,"""<%ChangeView> を入力することで、視点が切り替わります。<br><br>カーソルは、マウス操作で動かすことができます。"""
text103#1,"""<%ChangeView> を入力することで、視点が切り替わります。<br><br>カーソルは、右スティックで動かすことができます。"""
text104#1,"""元の視点に戻すには、もう一度<%ChangeView>を入力します。<br><br>肩越し視点は、より精密な射撃攻撃などを行う上で<br>非常に重要になります。"""
