IncidentName#0,"""Close Call on Vopar!"""
TrialBeginMsg#0,"""Rescatar a los civiles de Vopar!"""
TrialAbstract#0,"""Destruye el Gum Anemones!"""
NpcComOnBegin#0,"""/face1 Un nativo primitivo ha sido capturado.<br>es peligroso que permanesca en ese lugar.<br>Por favor rescatalo con urgencia"""
NpcComOnSuccess#0,"""/face2 Bien hecho, el rescate ha sido un exito.<br>Mire, el nativo esta agradecido."""
NpcComOnFailure#0,"""/face4  La reaccion, ha desaparecido...... Lastima.<br>No se puede evitar"""
NpcComOn1st#0,"""/face1 Eso se tragara al nativo<br>apresurese y ve al rescate."""
NpcComOn2nd#0,"""/face1 Chi... <br>Esta siendo tragado. <br>dese prisa, o sera demasiado tarde."""
NpcComOn3rd#0,"""/face1 ……¿Se lo trago?.<br>Esto va muy mal......"""
NpcComOnBegin#1,"""/face1 Detecto la presencia de un nativo que ha sido capturado.<br>Date prisa, para rescatarlo."""
NpcComOnSuccess#1,"""/face2 Bien hecho, el rescate ha sido un exito.<br>Mire, el nativo esta agradecido."""
NpcComOnFailure#1,"""/face1 La reaccion, ha desaparecido...... Lastima.<br>No se puede evitar, puede volver a su mision principal."""
NpcComOn1st#1,"""/face1 Eso se tragara al nativo<br>apresurese y ve al rescate."""
NpcComOn2nd#1,"""/face3 Chi... <br>Esta siendo tragado. <br>dese prisa, o sera demasiado tarde."""
NpcComOn3rd#1,"""/face3 ……¿Se lo trago?.<br>Esto va muy mal......"""
NpcComOnBegin#2,"""/face1 Detecto la presencia de un nativo que ha sido capturado.<br>Date prisa, para rescatarlo."""
NpcComOnSuccess#2,"""/face2 Bien hecho, el rescate ha sido un exito.<br>Mire, el nativo esta agradecido."""
NpcComOnFailure#2,"""/face4 La reaccion, ha desaparecido...... Lastima.<br>No se puede evitar"""
NpcComOn1st#2,"""/face1 Eso se tragara al nativo<br>apresurese y ve al rescate."""
NpcComOn2nd#2,"""/face4 Chi... <br>Esta siendo tragado. <br>dese prisa, o sera demasiado tarde."""
NpcComOn3rd#2,"""/face1 Si usted no da ayuda a tiempo<br>sera muy tarde!"""
