name01#0,"""シエラ"""
text01#0,"""では、<red>ワイヤードランスギア<c>について<br>説明します！"""
text02#0,"""ワイヤードランスギアはギアを１段階分<br>消費して<red>ホールド系フォトンアーツの<br>威力を上昇<c>させる効果があります。"""
text03#0,"""それでは、<red>ギアを１段階以上<c>にして<br>フォトンアーツを撃ってみましょう。"""
text101#0,"""課題４：<yellow>ギアを１段階以上ためてフォトンアーツ発動"""
train_title#0,"""課題４：<yellow>ギアを１段階以上ためてフォトンアーツ発動"""
tut_title#0,"""ワイヤードランスギアについて"""
text100#0,"""・エネミーを攻撃してギア１段階以上ためる<br>・<%PhotonArts>でフォトンアーツを発動"""
text100_3b#0,"""・エネミーを攻撃してギア１段階以上ためる<br>・<%PhotonArts>でフォトンアーツを発動"""
tut_win_title#0,"""『ワイヤードランスギア』について"""
tut_win_text100#0,"""クラススキル「ワイヤードランスギア」を<br>習得しているとワイヤードランスの性能を<br>更に引き出すことができます。<br><br>攻撃することでギアが上昇し<br>１段溜まるごとにスタックされます。<br><br>スタックされたギアは<br>ホールド系フォトンアーツを<br>使用する際に消費され<br>威力を上昇させる効果があります。"""
