name_7199#0,"""Guiden"""
msn_005013_0001#0,"""Hmmm, parece que estás ganando fuerza."""
msn_005013_0002#0,"""Pero todavía hay mucho que aprender. <br> Deberías seguir hablando con todos."""
msn_005013_0101#0,"""Has sido de gran ayuda para todos nosotros."""
msn_005013_0102#0,"""Es el momento de aprender sobre cada clase."""
msn_005013_0103#0,"""Con la capacidad de controlar una variedad de clases a tu disposición, tendrás una ventaja incluso sobre los DOLLS más poderosos."""
msn_005013_0104#0,"""En Ciudad Central, hay instructores para cada clase. <br> Les hemos dicho a todos que nos ayuden."""
msn_005013_0105#0,"""Estaremos en el sureste de Ciudad Central, así que asegúrese de informarse sobre cada clase."""
msn_005013_0201#0,"""Has ganado mucha fuerza."""
msn_005013_0202#0,"""Se nota por la forma en que se comporta. Ya es un ARKS."""
msn_005013_0203#0,"""A continuación, visita ...... y si tienes dudas sobre algo, intenta recordar lo que has aprendido hasta ahora."""
msn_005013_0204#0,"""Espero ver más de usted en el futuro."""
