name_7024#0,"""Guiden"""
msn_005012_0001#0,"""¿Qué estás haciendo? Encuentra el Dispositivo Ryuker. Sigue tu marcador de tareas."""
msn_005012_0101#0,"""Has vuelto."""
msn_005012_0102#0,"""Siempre que localices un Dispositivo Ryuker, asegúrate de activarlo."""
msn_005012_0103#0,"""Muy bien. Ahora es el momento de aprender sobre los DOLLS."""
msn_005012_0104#0,"""Los DOLLS están rodeados de misterio."""
msn_005012_0105#0,"""No sabemos de dónde vienen ni por qué. Ni siquiera sabemos si son organismos vivos."""
msn_005012_0106#0,"""Hemos mantenido la línea contra ellos durante mucho tiempo. Y queremos que nos ayudes a seguir haciéndolo."""
msn_005012_0107#0,"""Hmm... se suponía que íbamos a asignar personal a lo de Bono. Creo que te pediré ayuda con eso."""
msn_005012_0108#0,"""Los residentes de la ciudad siempre tienen muchas peticiones. Ayudar con ellas es uno de los trabajos de un<br>defensor de ARKS."""
msn_005012_0109#0,"""Hay un chico llamado Bono en la parte sur de la ciudad."""
msn_005012_0110#0,"""Necesito que vayas a ayudarle. A ver qué puedes hacer"""
msn_005012_0201#0,"""Debería ser bastante sencillo para ti."""
msn_005012_0202#0,"""Ponte a ello."""
