name_7024#0,"""Guiden"""
msn_005002_0001#0,"""Me alegro de que hayas llegado. Soy Guiden. Seré tu instructor."""
msn_005002_0002#0,"""Los defensores de ARKS son guerreros que luchan contra los DOLLS en Halpha."""
msn_005002_0003#0,"""Nos gustaría que fueras uno de nosotros y te unieras a nuestra lucha contra los DOLLS."""
msn_005002_0004#0,"""Pero sé que acabas de llegar. Probablemente aún tengas muchas preguntas."""
msn_005002_0005#0,"""Estoy aquí para ayudarte a aprender más sobre lo que significa ser un defensor de ARKS."""
msn_005002_0006#0,"""Pero antes de empezar, necesito ver qué puedes hacer."""
msn_005002_0007#0,"""Quiero que luches contra enemigos en la zona de Ciudad Central. Cualquiera servirá."""
msn_005002_0008#0,"""Si te hieren, coge algún Restasigne cercano y cúrate."""
msn_005002_0101#0,"""Hay un Capullo en la zona. Puedes pensar en los Capullos como una especie de instalación de entrenamiento."""
msn_005002_0102#0,"""Puedes encontrar más información sobre ellos siguiendo tu marcador de tareas."""
msn_005002_0103#0,"""Muy bien, entonces. Buena suerte."""
msn_005002_0201#0,"""Parece que has sobrevivido al Capullo."""
msn_005002_0202#0,"""Sigamos avanzando"""
msn_005002_0203#0,"""Es un dolor tratar con enemigos aleatorios en esta vasta área. Te mostraré una forma fácil<br>de desplazarte."""
msn_005002_0204#0,"""Tu marcador de tareas te indicará algo llamado Dispositivo Ryuker."""
msn_005002_0205#0,"""Ve a comprobarlo"""
msn_005002_0301#0,"""¿Qué estás haciendo? Encuentra el Dispositivo Ryuker. Sigue tu marcador de tareas."""
msn_005002_0302#0,"""Tómate tu tiempo para trabajar en ello."""
