name_7007#0,"""Liu Lin"""
msn_011063_007_0010#0,"""¿Cómo te fue? ¿Has conseguido aprender alguna?<br> No has intentado ir en contra de mis recomendaciones, ¿verdad?"""
msn_011063_007_0020#0,"""Hablamos de aprender Habilidades de Clase, pero en realidad, sólo se transfiere a la memoria un conocimiento parcial<br>de cómo utilizarlas."""
msn_011063_007_0030#0,"""Se requiere un entrenamiento continuado antes de que puedas dominar realmente una.<br>Trata de acostumbrar a tu cuerpo a ellas gradualmente con el tiempo."""
msn_011063_007_0040#0,"""Intenta que tu cuerpo se acostumbre a ellos gradualmente con el tiempo."""
msn_011063_007_0050#0,"""He enviado algunos recursos a tu Inventario.<br>Sólo algunas armas y pases relacionados con las Habilidades de Clase."""
msn_011063_007_0055#0,"""He enviado algunos recursos a tu inventario."""
msn_011063_007_0060#0,"""Tanto con las clases como con las armas, siempre hay algunas que se adaptan a ciertas personas,<br>y otras que no. Por favor, encuentra un estilo y una configuración que se adapte a ti."""
msn_011063_007_0070#0,"""Para terminar, en la plaza del extremo sur de Central, encontrarás instructores para cada<br>clase."""
msn_011063_007_0080#0,"""Tienen más conocimientos que yo, así que deberían tener mucho que enseñarte.<br>Definitivamente, hazles una visita."""
msn_011063_007_0090#0,"""Uf... No suelo hablar tanto, así que estoy bastante agotado."""
msn_011063_007_0100#0,"""Sin embargo, espero haber hecho un trabajo lo suficientemente bueno para informarte de lo esencial."""
msn_011063_007_0110#0,"""Bueno, eso es todo por mi parte.<br>Estoy deseando trabajar más con usted en el futuro."""
msn_011063_007_0401#0,"""He recibido Primm Sword, Primm Knuckles, Primm Rifle, Primm Machine Guns, Primm Rod, Primm Wand, Primm Katana, Primm Boots, and N-Reset All Skills."""
msn_011063_007_0501#0,"""He recibido Primm Sword, Primm Knuckles, Primm Rifle, Primm Machine Guns, Primm Rod, Primm Wand, Primm Katana, Primm Boots."""
