NAME#0,"""리사"""
NICKNAME#0,"""아이템 샵 점원"""
HELLO#0,"""어서 오세요<br>여기서는 아이템을<br>판매하고 있습니다"""
HELLO_FAV4#0,"""어서 오세요<br>여기서는 아이템을<br>판매하고 있습니다"""
HELLO_FAV3#0,"""어서 오세요<br>여기서는 아이템을<br>판매하고 있습니다"""
HELLO_FAV2#0,"""어서 오세요<br>여기서는 아이템을<br>판매하고 있습니다"""
HELLO_FAV1#0,"""어서 오세요<br>여기서는 아이템을<br>판매하고 있습니다"""
HELLO_FAV0#0,"""어서 오세요<br>여기서는 아이템을<br>판매하고 있습니다"""
Q0#0,"""어서 오세요<br>여기서는 아이템을<br>판매하고 있습니다"""
GOODBYE#0,"""잘 다녀오세요"""
GOODBYE_FAV4#0,"""잘 다녀오세요"""
GOODBYE_FAV3#0,"""잘 다녀오세요"""
GOODBYE_FAV2#0,"""잘 다녀오세요"""
GOODBYE_FAV1#0,"""잘 다녀오세요"""
GOODBYE_FAV0#0,"""잘 다녀오세요"""
00_01#0,"""選択肢その１"""
00_02#0,"""選択肢その２"""
TALK_ST#0,"""会話する"""
C_ORDER_ST#0,"""相談を聞く"""
