text01#0,"""You there. Sorry to bother you, but can you help us? Ask the woman next to me for more details."""
text01#1,"""Why do children passing by keep asking us for gifts when they see us? Is it because of our outfits...?"""
11_voice_NPC_5668_100#0,"""Well, I certainly don't mind seeing such big smiles on those children's faces."""
11_voice_NPC_5668_101#0,"""I see, so the idea is to wait until your children or partner have fallen asleep, then leave presents for them...<br>What a strange tradition."""
text02#0,"""Aha, and this \""Santa\"" is typically depicted as an old man with a large white beard.<br>...Hm?"""
11_voice_NPC_5668_104#0,"""For some reason, I feel like I know someone who meets that description already...<br>It must be my imagination."""
text01#2,"""Hm? Am I not cold in this outfit? Indeed, my shoulders are a little too exposed for cold weather..."""
text02#1,"""But the feeling I get from watching these crowds of people...<br>That is warmth enough for me."""
text01#3,"""It seems that whatever feeling was driving me has melted away in the hustle and bustle of this beautiful city."""
text02#2,"""I'm... just like the original, you say?<br>...You mean I'm like Santa?"""
11_voice_NPC_5668_100#1,"""...Merry Christmas.<br>Hmm, now how should I go about getting my revenge...<br>I'll have to think about this."""
