Title#0,"""Mother's Request"""
Explanation#0,"""マザー・クラスタの本拠、月の中枢へと向かう<br><%me>達。<br>マザーを倒し、アルを助けるために<br>それぞれの想いと願いが、ぶつかり合う。<br>――――――――――――――――――――<br>Failure Conditions / Select retire after being incapacitated."""
SimpleExplanation#0,"""???"""
QuestInfoPlanetName#0,"""Satellite: Moon"""
Area0S#0,"""Satellite: Moon"""
Area0L#0,"""Satellite: Moon - Underground Central Facility"""
Area1S#0,"""Satellite: Moon"""
Area1L#0,"""Satellite: Moon - Underground Central Facility"""
Area2S#0,"""Satellite: Moon"""
Area2L#0,"""Satellite: Moon - Underground Central Facility"""
Area3S#0,"""Satellite: Moon"""
Area3L#0,"""Satellite: Moon - Underground Central Facility"""
Area4S#0,"""Satellite: Moon"""
Area4L#0,"""Satellite: Moon - Underground Central Facility"""
