name_7418#0,"""Сурона"""
ssn_012010_0001#0,"""Добро пожаловать в Централ."""
ssn_012010_0002#0,"""Здесь проживает много ARKS. Конечно же тут живёт и множество “Прибывших со Звёзд”."""
ssn_012010_0003#0,"""Так же тут имеется хороший выбор удобств, так что обязательно осмотрись."""
ssn_012010_0101#0,"""Я получила сообщение от Бурудара. Я ждала тебя."""
ssn_012010_0102#0,"""Расскажу тебе, что сама знаю."""
ssn_012010_0103#0,"""Я хотела бы расспросить тебя о “Mag'е региона”... Ты что-нибудь знаешь о них?"""
ssn_012010_0104#0,"""Тогда, позволь объяснить."""
ssn_012010_0105#0,"""Похожих на больших Мag'ов мы называем Mag'ами региона. Они находятся в различных местах."""
ssn_012010_0106#0,"""Поговаривают, что если дать ему какой-то предмет, то произойдёт что-то хорошее."""
ssn_012010_0107#0,"""Если увидишь такого, попробуй."""
ssn_012010_0201#0,"""...Вот оно что. Тогда, в другой раз."""
