ssc_502050_0010#0,"""<%me>도<br>와 있었구나."""
ssc_502050_0020#0,"""마논은 뭐하러 여기에?"""
ssc_502050_0030#0,"""찾는 거라도 있어?"""
ssc_502050_0040#0,"""레졸 숲의<br>에너미를 조사하고 있었어."""
ssc_502050_0050#0,"""아니. 레졸 숲의<br>에너미를 조사하고 있었어."""
ssc_502050_0060#0,"""에너미……특히 돌즈 간의<br>네트워크에 관해서."""
ssc_502050_0070#0,"""돌즈는 각 개체가<br>따로 움직이는 것처럼 보이지만……."""
ssc_502050_0080#0,"""어느 종의 집단적 의식을 통해서<br>일제히 행동하는 경우가 있어."""
ssc_502050_0090#0,"""그거 알아?<br>돌즈에겐 통제형이라 불리는 타입이 있어."""
ssc_502050_0100#0,"""대표적인 건 페다스 베라."""
ssc_502050_0110#0,"""통제형 돌즈는<br>말 그대로 다른 돌즈를 통솔하는 존재야."""
ssc_502050_0120#0,"""요컨대 돌즈의 지휘관이겠네."""
ssc_502050_0130#0,"""이 레졸 숲에 출현한 넥스 에아리오는<br>그 중에서도 특히나 강한 개체 중 하나야."""
ssc_502050_0140#0,"""데이터베이스에 따르면<br>전역 통제형으로 분류돼 있어."""
ssc_502050_0150#0,"""브루더와 연락이 끊겼을 당시,<br>넥스 에아리오는 에아리오 전역에 명령을 내렸어."""
ssc_502050_0160#0,"""그 명령을 받은 돌즈는<br>센트럴 시티에 일제히 진군하기 시작했고."""
ssc_502050_0170#0,"""사령탑인 넥스 에아리오을 방치한 결과,<br>센트럴 시티는 큰 위험에 빠진 거야."""
ssc_502050_0180#0,"""신속하게 행동해서 정말 다행이었어."""
ssc_502050_0190#0,"""……못 이길 전투를<br>어쩌다 운 좋게 이긴 걸지도 모르지만."""
ssc_502050_0200#0,"""이것들 모두 크로포드한테 받은<br>레포트에 써 있던 내용이야."""
ssc_502050_0210#0,"""정말로 깊게 연구했어."""
ssc_502050_0220#0,"""그래서, 여기서부터가 진짜 이야기인데……."""
ssc_502050_0230#0,"""내가 느닷없이 너무 말이 많았으려나."""
ssc_502050_0240#0,"""후후후.<br>그럼 오늘 강의는 여기까지 하자."""
ssc_502050_0250#0,"""또 뭔가 알게 되면 알려줄게."""
