name_7224#0,"""ไซเทร"""
name_7234#0,"""เปปปี้ แรปปี้"""
ssn_019190_002_0010#0,"""ไง! ขอบใจที่มานะ ขอแนะนำตัวอีกครั้งก็แล้วกัน"""
ssn_019190_002_0020#0,"""ชื่อไซเทร อยู่แผนกเสบียงของเซ็นทรัลซิตี้ หน้าที่หลักๆ คือจัดการพวกวัตถุดิบกับเสบียงสำหรับต่อสู้น่ะ"""
ssn_019190_002_0030#0,"""แล้วก็ นี่คือเหตุผลที่เรียกมาล่ะ..."""
ssn_019190_002_0040#0,"""รู้จัก Rappy Assembly ไหม?"""
ssn_019190_002_0011#0,"""<%me>! ขอบใจที่มาหานะ"""
ssn_019190_002_0021#0,"""ขอเข้าเรื่องเลยละกัน รู้จักไหมว่า Rappy Assembly คืออะไร?"""
ssn_019190_002_0050#0,"""ก็ตรงตามชื่อเลย เป็นสถานที่พิเศษที่มีแรปปี้มารวมตัวกันเยอะๆ น่ะ"""
ssn_019190_002_0060#0,"""แล้วเมื่อไม่นานมานี้ เราได้รับรายงานว่ามีกัปตัน(Captan)ไปร่วมใน Rappy Assembly พวกนั้นด้วย"""
ssn_019190_002_0070#0,"""เรื่องนี้ทำให้หัวหน้าบ้าแรปปี้ของฉันตื่นเต้นจนเป็นบ้าไปเลย เอาแต่พูดไม่หยุดว่า 'ต้องบันทึกข้อมูลไว้ให้ได้ ไม่ว่าจะแลกด้วยอะไรก็ตาม!' อะไรทำนองเนี้ย"""
ssn_019190_002_0080#0,"""เขาเป็นเอามากจนแทบไม่เป็นอันทำงานทำการเลยล่ะ..."""
ssn_019190_002_0090#0,"""ก็เลยจะขอบคุณมากถ้าเธอช่วยไปบันทึกภาพของแรปปี้กับกัปตันที่อยู่ด้วยกันมาให้หน่อย"""
ssn_019190_002_0100#0,"""ขอโทษนะที่ต้องรบกวน แต่มันจะช่วยได้มากเลยล่ะ!"""
ssn_019190_002_0120#0,"""ยินดีต้อนรับกลับนะ! ขอบใจมาก ช่วยได้เยอะเลยล่ะ"""
ssn_019190_002_0130#0,"""เพิ่งส่งข้อมูลไปให้หัวหน้าเมื่อกี้นี้เอง หวังว่าตอนนี้จะได้กลับมาทำงา--"""
ssn_019190_002_0140#0,"""ยอดยยยยยี่ยม! เป็นข้อมูลที่ยอดเยี่ยมอะไรขนาดนี้!"""
ssn_019190_002_0150#0,"""ให้ตายสิ เอาอีกแล้ว..."""
ssn_019190_002_0160#0,"""แรปปี้กับกัปตัน! เป็นการรวมตัวของความน่ารัก กับความน่ารักที่มากขึ้นไปอีก!"""
ssn_019190_002_0170#0,"""อืมมม! ตัวใหญ่นี่ก็ยอดเยี่ยมเหมือนกัน! ดูเหมือนความน่ารักจะเพิ่มขึ้นตามขนาดตัวเลยนะเนี่ย"""
ssn_019190_002_0180#0,"""...ใจเย็นๆ ก่อนค่ะ หัวหน้า"""
ssn_019190_002_0190#0,"""ก็ดีใจด้วยนะคะหัวหน้า แต่ถ้าพอใจแล้วล่ะก็ ช่วยกลับไปทำงานได้ไหมคะ?"""
ssn_019190_002_0200#0,"""อ๊าาา วิเศษไปเลย... ฉันดูพวกมันไปได้ตลอดกาลเลยยยย..."""
ssn_019190_002_0210#0,"""...นี่ล้อกั--"""
ssn_019190_002_0220#0,"""ล้อเล่น! ล้อเล่นน่า..."""
ssn_019190_002_0230#0,"""พูดถูกของเธอ เอาไว้ทำงานเสร็จแล้วค่อยมีเวลาดูอีกถมเถ"""
ssn_019190_002_0240#0,"""อ๊าาา ได้เจอแหล่งแรงบันดาลใจใหม่รายวันซะแล้ว!"""
ssn_019190_002_0250#0,"""เอาเป็นว่า ฉันจะกลับไปทำงานล่ะ แล้วก็ขอบใจนายมากอีกครั้งนะ เพื่อนยาก!"""
ssn_019190_002_0260#0,"""เฮ้อ..."""
ssn_019190_002_0270#0,"""สาบานเลย เขาจะเป็นหัวหน้าที่ดีมากเลยนะถ้าไม่มี... นิสัยแบบนั้น"""
ssn_019190_002_0280#0,"""ย-ยังไงก็เถอะ ขอบใจอีกครั้งที่ช่วยเหลือนะ"""
ssn_019190_002_0290#0,"""ข้อมูลที่รวบรวมมาจะถูกเอาไปใช้เพื่อการวิจัยที่มีประโยชน์จริงๆ ไม่ใช่แค่งานอดิเรกเล็กๆ น้อยๆ ของคุณเปปปี้ แรปปี้หรอก"""
ssn_019190_002_0300#0,"""ถ้ามีอะไรคืบหน้า เดี๋ยวจะบอกให้รู้ละกัน!"""
ssn_019190_002_0400#0,"""เสบียงคือเส้นเลือดใหญ่ของการต่อสู้!"""
ssn_019190_002_0410#0,"""หัวหน้าของเราจะยอดเยี่ยมมากเลย ถ้าไม่มีนิสัย... 'แบบนั้น'"""
npc_menu_0010#0,"""แลกเปลี่ยน Seasonal Point (จนถึง $(0))"""
npc_menu_0030#0,"""Recycle Item (จนถึง $(0))"""
npc_menu_0040#0,"""ถามเกี่ยวกับ Seasonal Event"""
npc_menu_0050#0,"""ปิดเมนู"""
npc_menu_0060#0,"""Recycle Item"""
npc_menu_1010#0,"""เกี่ยวกับ Seasonal Event"""
npc_menu_1020#0,"""เกี่ยวกับศัตรูตามฤดูกาล"""
npc_menu_1030#0,"""เกี่ยวกับ Mischief Symbol"""
npc_menu_1040#0,"""เกี่ยวกับ Seasonal Regional Mag"""
npc_menu_1050#0,"""เกี่ยวกับ Rappy Assembly"""
npc_menu_2000#0,"""ไม่เป็นไร"""
