Title#0,"""무한 연전: 영원의 윤무"""
Explanation#0,"""「무한 연전: 추억의 저편으로」에<br>이은 아크스용 훈련 프로그램<br>제2탄입니다.<br>각 행성의 무대에 마련된 미션에<br>새 요소를 더한 고난도 훈련입니다.<br>제한 시간 안에 모두 달성하기는 어렵지만<br>높은 성적을 노려 주세요.<br>――――――――――――――――――――<br>목표/하이 스코어 획득<br>최대 대미지 제한/999999"""
SimpleExplanation#0,"""제한 시간 안에 더 많은<br>스코어를 획득하라!"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
Area0S#0,"""VR 환혹의 숲"""
Area0L#0,"""아크스 쉽\u3000VR 공간(환혹의 숲)"""
Area1S#0,"""VR 시가지"""
Area1L#0,"""아크스 쉽\u3000VR 공간(시가지)"""
Area2S#0,"""VR 용제단"""
Area2L#0,"""아크스 쉽\u3000VR 공간(용제단)"""
Area3S#0,"""VR 유적"""
Area3L#0,"""아크스 쉽\u3000VR 공간(유적)"""
Area4S#0,"""VR 해안"""
Area4L#0,"""아크스 쉽\u3000VR 공간(해안)"""
Area5S#0,"""VR 협곡"""
Area5L#0,"""아크스 쉽\u3000VR 공간(협곡)"""
Area6S#0,"""VR 채굴장 터"""
Area6L#0,"""아크스 쉽\u3000VR 공간(채굴장 터)"""
Area7S#0,"""VR 부상 시설"""
Area7L#0,"""아크스 쉽\u3000VR 공간(부상 시설)"""
Area8S#0,"""VR 백의 영역"""
Area8L#0,"""아크스 쉽\u3000VR 공간(백의 영역)"""
Area9S#0,"""VR 부상 시설"""
Area9L#0,"""아크스 쉽\u3000VR 공간(부상 시설)"""
Area10S#0,"""VR 괴세 구역\u3000지하 갱도"""
Area10L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000지하 갱도)"""
Area11S#0,"""VR 채굴 기지"""
Area11L#0,"""아크스 쉽\u3000VR 공간(채굴 기지)"""
Area12S#0,"""VR 도쿄"""
Area12L#0,"""아크스 쉽\u3000VR 공간(도쿄)"""
Area13S#0,"""VR 라스베이거스"""
Area13L#0,"""아크스 쉽\u3000VR 공간(라스베이거스)"""
Area14S#0,"""VR 괴세 구역\u3000화산 동굴"""
Area14L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000화산 동굴)"""
Area15S#0,"""VR 흑의 영역"""
Area15L#0,"""아크스 쉽\u3000VR 공간(흑의 영역)"""
Area16S#0,"""VR 화산 동굴"""
Area16L#0,"""아크스 쉽\u3000VR 공간(화산 동굴)"""
Area17S#0,"""VR 채굴 기지"""
Area17L#0,"""아크스 쉽\u3000VR 공간(채굴 기지)"""
Area18S#0,"""VR 해저"""
Area18L#0,"""아크스 쉽\u3000VR 공간(해저)"""
Area19S#0,"""VR 달 표면\u3000"""
Area19L#0,"""아크스 쉽\u3000VR 공간(달 표면)"""
Area20S#0,"""VR 시가지"""
Area20L#0,"""아크스 쉽\u3000VR 공간(시가지)"""
Area21S#0,"""VR 마신성 주변\u3000"""
Area21L#0,"""아크스 쉽\u3000VR 공간(마신성 주변)"""
Area22S#0,"""VR 괴세 구역\u3000삼림\u3000"""
Area22L#0,"""아크스 쉽\u3000VR 공간(괴세 구역\u3000삼림)"""
Area23S#0,"""ＶＲ(????)"""
Area23L#0,"""아크스 쉽\u3000VR 공간(????)"""
Area24S#0,"""VR 쉽 잔해·갑판\u3000"""
Area24L#0,"""아크스 쉽\u3000VR 공간(아크스 쉽 잔해·갑판)"""
Area25S#0,"""VR 마더 쉽 내부\u3000"""
Area25L#0,"""아크스 쉽\u3000VR 공간(마더 쉽 내부)"""
Area26S#0,"""VR 부유 대륙\u3000"""
Area26L#0,"""아크스 쉽\u3000VR 공간(부유 대륙)"""
Area27S#0,"""VR 다커의 소굴"""
Area27L#0,"""아크스 쉽\u3000VR 공간(다커의 소굴)"""
Area28S#0,"""VR 삼림\u3000"""
Area28L#0,"""아크스 쉽\u3000VR 공간(삼림)"""
Area29S#0,"""VR 아레나\u3000삼림\u3000"""
Area29L#0,"""아크스 쉽\u3000VR 공간(VR 아레나\u3000삼림)"""
Area30S#0,"""VR 지하 갱도\u3000"""
Area30L#0,"""아크스 쉽\u3000VR 공간(지하 갱도)"""
Area31S#0,"""VR 상륙정"""
Area31L#0,"""아크스 쉽\u3000VR 공간(상륙정)"""
Area32S#0,"""VR 백의 대성채\u3000"""
Area32L#0,"""아크스 쉽\u3000VR 공간(백의 대성채)"""
Area33S#0,"""VR 일본 근해\u3000"""
Area33L#0,"""아크스 쉽\u3000VR 공간(일본 근해)"""
Area34S#0,"""VR 에픽 사막"""
Area34L#0,"""아크스 쉽\u3000VR 공간(에픽 사막)"""
Area35S#0,"""VR 쿠엔트 동부 평원"""
Area35L#0,"""아크스 쉽\u3000VR 공간(쿠엔트 동부 평원)"""
Area36S#0,"""VR 베른 황야"""
Area36L#0,"""아크스 쉽\u3000VR 공간(베른 황야)"""
Area37S#0,"""VR 쿠엔트 성 옥좌의 방"""
Area37L#0,"""아크스 쉽\u3000VR 공간(쿠엔트 성\u3000옥좌의 방)"""
Area38S#0,"""VR 에픽 사막 북쪽 요새"""
Area38L#0,"""아크스 쉽\u3000VR 공간(에픽 사막\u3000북쪽 요새)"""
Area39S#0,"""VR 루이자 호숫가"""
Area39L#0,"""아크스 쉽\u3000VR 공간(루이자 호숫가)"""
Area40S#0,"""ＶＲ(????)"""
Area40L#0,"""아크스 쉽\u3000VR 공간(????)"""
Area41S#0,"""VR 협곡의 화원"""
