un_045100_0010#0,"""Ah! Hey, thanks for all your help!"""
un_045100_0020#0,"""Thanks to you, the ship doesn't have a single scratch on it, and the repairs are perfect too! Everything's gonna be alright!"""
un_045100_0030#0,"""We are truly grateful to you for helping us with anything and everything, even though you didn't even know us."""
un_045100_0040#0,"""Emilia and I were thinking that, at the very least, there must be something we can do to thank you."""
un_045100_0050#0,"""Don't worry about it."""
un_045100_0060#0,"""Your kind words are enough."""
un_045100_0070#0,"""Hah, that lack of desire in you makes you sound just like my old partner. It's amazing, but also a bit of a shame..."""
un_045100_0080#0,"""But look, even if you say you don't need a thank-you, we feel like we're in your debt!"""
un_045100_0090#0,"""We will be absolutely sure to repay you someday. If you ever run into trouble, please call us anytime."""
un_045100_0100#0,"""We're gonna return home in just a bit, but we already have this location's coordinates and so on completely memorized!"""
un_045100_0110#0,"""So we can come back here whenever we want!"""
un_045100_0120#0,"""Our time together may have been short, but we're all friends here now! So don't you ever hesitate to call on us!"""
un_045100_0130#0,"""I am so thankful for all that you've done."""
un_045100_0140#0,"""Yeah, thanks. For real."""
