name_7245#0,"""Xiemmy"""
ssn_019430_002_0010#0,"""...ส、สวัสดีค่ะ<br>ขอบคุณที่... อุตส่าห์มานะคะ"""
ssn_019430_002_0020#0,"""เรื่องที่อยากจะคุย...<br>คือเรื่องที่กำลังเกิดขึ้น... ทั่วทั้งฮาลฟาในตอนนี้ค่ะ"""
ssn_019430_002_0030#0,"""พวกศัตรูที่มีสัญลักษณ์ฤดูกาล... เริ่มมีจำนวนเพิ่มมากขึ้น<br>และศัตรูตัวอื่นๆ เองก็... มีการเคลื่อนไหวที่คึกคักขึ้นด้วยค่ะ"""
ssn_019430_002_0040#0,"""เพื่อนำไปพัฒนาอุปกรณ์แบบใหม่...<br>ฉันเลยอยากจะเก็บรวบรวมข้อมูลพวกนั้น...น่ะค่ะ"""
ssn_019430_002_0050#0,"""ก็เลยคิดว่า...<br>อยากจะขอให้คุณ... ช่วยอีกสักครั้งจะได้ไหมคะ"""
ssn_019430_002_0060#0,"""อ๊ะ... สีหน้าแบบนั้น...<br>แปลว่าตกลงสินะคะ"""
ssn_019430_002_0070#0,"""...ใช่ไหมคะ?"""
ssn_019430_002_0080#0,"""...ขอบคุณมากค่ะ<br>ง、งั้นก็... พยายามเข้านะคะ!"""
ssn_019430_002_0090#0,"""...อ๊ะ จริงสิ<br>อันนี้เป็นอีกเรื่องหนึ่ง...น่ะค่ะ"""
ssn_019430_002_0100#0,"""คุณมีความสนใจ... ในพวกสิ่งมีชีวิตตามสภาพแวดล้อมไหมคะ?<br>...พอดีตอนนี้ มีคำขอความร่วมมือในการสำรวจระบบนิเวศจากห้องวิจัยข้างๆ... ส่งมาน่ะค่ะ"""
ssn_019430_002_0110#0,"""...ถ้าเกิดว่าสนใจล่ะก็<br>ช่วยไปลองฟังเรื่องราวจากคุณโนอัน... นักวิจัยสภาพแวดล้อมฮาลฟาหน่อยนะคะ"""
ssn_019430_002_0120#0,"""...ง、งั้นก็ ฝากด้วยนะคะ"""
ssn_019430_002_0900#0,"""เรื่องรวบรวมข้อมูล...<br>ของพวกศัตรู เป็นยังไงบ้างคะ?"""
ssn_019430_002_0910#0,"""ม、มีอะไรที่พอจะให้ฉันช่วยได้<br>บ้างไหมคะ...?"""
npc_menu_0010#0,"""แลกเปลี่ยนด้วย Seasonal Point (จนถึง $(0))"""
npc_menu_0020#0,"""แลกเปลี่ยนด้วย New Year '24 Seasonal Point (จนถึง $(0))"""
npc_menu_0030#0,"""แลกเปลี่ยนด้วยแร่ (จนถึง $(0))"""
npc_menu_0040#0,"""รีไซเคิลไอเทม (จนถึง $(0))"""
npc_menu_0050#0,"""สอบถามเกี่ยวกับกิจกรรม Seasonal Event"""
npc_menu_0060#0,"""ปิดเมนู"""
npc_menu_1010#0,"""เกี่ยวกับ【 Seasonal Event 】"""
npc_menu_1020#0,"""เกี่ยวกับ【 Seasonal Enemy 】"""
npc_menu_1030#0,"""เกี่ยวกับ【 Mischief Symbol 】"""
npc_menu_1040#0,"""เกี่ยวกับ【 Seasonal Region Mag 】"""
npc_menu_1050#0,"""เกี่ยวกับ【 Randomit 】"""
npc_menu_2000#0,"""ไม่มีเรื่องจะถาม"""
