msc_023040_0010#0,"""เอ๊ะ? อ้า <%me> นี่เอง"""
msc_023040_0020#0,"""หืม? มีอะไรเหรอ?"""
msc_023040_0030#0,"""นั่นมันชุดใหม่นี่นา"""
msc_023040_0040#0,"""มีบางอย่างเปลี่ยนไปนะ"""
msc_023040_0050#0,"""อ้า นี่น่ะเหรอ?"""
msc_023040_0060#0,"""อ้า สังเกตเห็นด้วยเหรอ?"""
msc_023040_0070#0,"""ฮี่ฮี่ฮี่ เป็นไงล่ะ? คิดว่าไงบ้าง?"""
msc_023040_0080#0,"""กำลังจะลงไปเริ่มฝึกสอนพวกเด็กใหม่พอดีเลยล่ะ"""
msc_023040_0090#0,"""ก็เลยคิดว่าจะใส่ชุดใหม่สักหน่อยน่ะ"""
msc_023040_0100#0,"""ก็คิดว่าอย่างน้อยก็ควรจะดูเหมือนครูฝึก (Instructor) หน่อย จริงไหมล่ะ?"""
msc_023040_0110#0,"""ก็เลย... ลองแต่งตัวให้เข้ากับบทบาทดูน่ะ..."""
msc_023040_0120#0,"""ดูเป็นครูฝึก (Instructor) สุดๆ ไปเลยล่ะ"""
msc_023040_0130#0,"""ดูเหมือนพวกขุนนางอะไรทำนองนั้นเลยนะ"""
msc_023040_0140#0,"""จริงเหรอ? ก็คงงั้นมั้ง แบบนี้น่าจะโอเคแล้วแหละ คิดว่านะ..."""
msc_023040_0150#0,"""หา? นั่นไม่ใช่ลุคที่ตั้งใจไว้สักหน่อย..."""
msc_023040_0160#0,"""...พูดตามตรงเลยนะ ยังรู้สึกประหม่าอยู่เลยล่ะ"""
msc_023040_0170#0,"""ไม่เคยอยู่ในจุดที่ต้องเป็นคนสอนคนอื่นมาก่อนเลยน่ะ..."""
msc_023040_0180#0,"""ไม่ค่อยมั่นใจเลยว่าจะเป็นครูฝึก (Instructor) ที่ดีได้ไหม"""
msc_023040_0190#0,"""กังวลว่าจะได้รับการยอมรับ<br>ในฐานะครูฝึก (Instructor) หรือเปล่าด้วยซ้ำ"""
msc_023040_0200#0,"""...แต่ถึงอย่างนั้น สิ่งเดียวที่ไม่เคย<br>เปลี่ยนไปเลยก็คือความตั้งใจที่จะช่วยเหลือคนอื่นน่ะ"""
msc_023040_0210#0,"""เพราะงั้นก็จะพยายามทำเรื่องนี้อย่างเต็มที่เลยล่ะ"""
msc_023040_0220#0,"""อีกอย่าง มาน่อนก็ทำงานหนักมากเหมือนกันนี่นา"""
msc_023040_0230#0,"""จะปล่อยให้เธอทำอยู่คนเดียวได้ยังไงล่ะ จริงไหม?"""
msc_023040_0240#0,"""ยังไงก็เถอะ คงต้องไปแล้วล่ะ"""
msc_023040_0250#0,"""เอาล่ะ! วันนี้จะสอนของดีๆ ให้ลูกศิษย์สักหน่อยแล้ว!"""
