name_7211#0,"""เซียนดี้"""
ssn_019330_002_0010#0,"""ขอบคุณที่มานะ"""
ssn_019330_002_0020#0,"""ที่ฉันเรียกคุณมา ก็เพื่อจะขอให้คุณช่วย<br>สืบสวนปรากฏการณ์ที่กำลังเกิดขึ้นอยู่นี้น่ะ"""
ssn_019330_002_0030#0,"""จริงๆ แล้ว ดูเหมือนว่าจำนวนศัตรูทั่วทั้งฮาลฟา<br>จะมีแนวโน้มเพิ่มขึ้นน่ะ"""
ssn_019330_002_0040#0,"""โดยเฉพาะอย่างยิ่ง มีการพบเห็นศัตรูที่มีสัญลักษณ์เฉพาะของช่วงเวลานี้<br>ในสถานที่ต่างๆ มากมายเลย"""
ssn_019330_002_0050#0,"""เพื่อวิเคราะห์สถานการณ์<br>ฉันขอให้คุณช่วยรวบรวมข้อมูลมาให้หน่อยได้ไหม?"""
ssn_019330_002_0060#0,"""ฉันอยากให้คุณส่งข้อมูล<br>ตอนที่คุณต่อสู้กับศัตรูที่มีสัญลักษณ์มาให้น่ะ"""
ssn_019330_002_0070#0,"""เอาล่ะ ฝากด้วยนะ"""
ssn_019330_002_0080#0,"""...อ้อ ใช่ๆ<br>อันนี้ไม่เกี่ยวกับคำขอสืบสวนหรอกนะ"""
ssn_019330_002_0090#0,"""ช่วงนี้ ดูเหมือนจะมีรายงานการพบเห็นสิ่งมีชีวิตลึกลับ<br>ที่เรียกว่า 'Lillipan' ในภูมิภาค Aelio ด้วยนะ"""
ssn_019330_002_0100#0,"""ถ้าคุณสนใจล่ะก็<br>ลองไปหาพวกมันดูก็ได้นะ?"""
ssn_019330_002_0110#0,"""เรื่องที่ฉันอยากจะบอกก็มีแค่นี้แหละ<br>ถ้าอย่างนั้น จะรอข้อมูลนะ"""
ssn_019330_002_0900#0,"""ฉันกำลังตั้งใจสืบสวนการเปลี่ยนแปลงของศัตรูในช่วงเวลานี้อยู่นะ"""
ssn_019330_002_0910#0,"""ไม่ว่าจะเป็นข้อมูลเล็กน้อยแค่ไหน<br>ถ้าส่งมาให้ฉันได้ก็จะช่วยได้มากเลยล่ะ"""
npc_menu_0010#0,"""แลกเปลี่ยนแต้ม Seasonal (จนถึง $(0))"""
npc_menu_0020#0,"""แลกเปลี่ยนแต้ม Seasonal ปีใหม่ '24 (จนถึง $(0))"""
npc_menu_0030#0,"""แลกเปลี่ยนแร่ (จนถึง $(0))"""
npc_menu_0040#0,"""รีไซเคิลไอเทม (จนถึง $(0))"""
npc_menu_0050#0,"""ถามเกี่ยวกับกิจกรรม Seasonal"""
npc_menu_0060#0,"""ปิดเมนู"""
npc_menu_0070#0,"""แลกเปลี่ยนเป็น N-Grinder (จนถึง $(0))"""
npc_menu_1010#0,"""เกี่ยวกับกิจกรรม Seasonal"""
npc_menu_1020#0,"""เกี่ยวกับศัตรู Seasonal"""
npc_menu_1030#0,"""เกี่ยวกับ Lillipan"""
npc_menu_1040#0,"""เกี่ยวกับ Region Mag ประจำฤดูกาล"""
npc_menu_1050#0,"""เกี่ยวกับ Randomite"""
npc_menu_2000#0,"""ช่างเถอะ"""
