choice01#0,"""『러스터』에 대하여"""
choice02#0,"""『러스터 건슬래시』에 대하여"""
choice03#0,"""『스타일』에 대하여"""
choice04#0,"""『러스터 스킬』에 대하여"""
choice05#0,"""『스마트 PA』에 대하여"""
choice06#0,"""『무기 전환 PA』에 대하여"""
choice_end#0,"""이 자리를 떠난다"""
Title#0,"""『러스터』에 대하여"""
text0001#0,"""러스터는<br>고속 전투에 능한 후계 클래스입니다.<br><br>장착할 수 있는 무기는<br>「건슬래시」뿐이지만<br>장착한 무기의 속성에 따라<br>전투 방식이 다른 세 가지 스타일로 변화합니다.<br><br><yellow>「잔디 스타일」 ※바람·번개 속성 무기 장착<c><br>속도 중시 스타일. 회피와 범위 섬멸에 능합니다.<br><yellow>「포메르 스타일」 ※불·어둠 속성 무기 장착<c><br>공격 중시 스타일. 슈퍼 아머를 활용한 근접전에 능합니다.<br><yellow>「바란 스타일」 ※얼음·빛 속성 무기 장착<c><br>방어 중시 스타일. 가드와 원거리 공격에 능합니다."""
text0002#0,"""러스터는 기존 클래스와<br>다른 점이 있습니다.<br><br>· 서브클래스를 설정할 수 없음<br>(퀘스트 수주 조건에 서브클래스의<br>\u3000레벨 제한이 있는 경우 메인 클래스의<br>\u3000레벨을 참조합니다)<br><br>· 일부 잠재 능력과 스킬 링 효과가 무효<br>(예: 전기앙혼, R/어택 어드밴스 등)<br><br>· 전용 레벨 상한 해방 오더가 발생<br>· 서포트 파트너는<br>\u3000러스터로 클래스 변경 불가"""
Title#1,"""『러스터 건슬래시』에 대하여"""
text0001#1,"""러스터가 장착한 건슬래시<br>「러스터 건슬래시」에<br>대해 설명하겠습니다.<br><br>러스터 건슬래시는<br>총과 검을 자유롭게 전환하여<br>거리에 구애받지 않는 고속 전투가 가능합니다.<br><br>액션을 변화시키는 스킬이 많이 존재하며<br>자신의 전투 스타일에 맞는 스킬을<br>습득하면 전투의 폭을<br>넓힐 수 있습니다."""
text0002#1,"""러스터의 건슬래시는<br>통상 공격으로 검을 빠르게 휘두릅니다.<br><br><yellow>무기 액션 「이베이드 슛」<c>은<br>입력한 방향으로 이동하며 사격합니다.<br>발동 직후에는 무적 시간이 있습니다.<br><br>사용하는 PA는 검을 쓰는 근거리 PA와<br>총을 쓰는 중·원거리 PA로 나뉩니다.<br>에너미와의 거리나 전황에 맞춰<br>자유롭게 구사해야 진가를 발휘합니다."""
text0003#0,"""러스터는 클래스 스킬<br>「러스터 건슬래시 기어」를<br>처음부터 습득하고 있습니다.<br><br><yellow>아무 공격 버튼이나 길게 누르면<br>기어 게이지를 소비해 공격 액션이 강화<c>됩니다.<br><br>기어 게이지는 시간이 지나거나<br>에너미를 공격하면 증가합니다.<br><br>① 「인핸스 어택」<br><yellow>· 통상 공격 버튼을 길게 누르기<c><br>스타일에 따라 서로 다른 효과를 지닌 공격이 발동합니다.<br><c ff4f3f>※기어를 소비하지 않고 발동하면 위력이 감소합니다.<c>"""
text0004#0,"""② 「인핸스 슛」<br><yellow>· 무기 액션 버튼을 길게 누르기<c><br>누른 시간에 따라 기어를 소비해<br>스타일에 맞는 강력한 공격이 발동합니다.<br><c ff4f3f>※기어가 하나 이상 모이지 않은<br>   상태에서는 발동하지 않습니다.<c><br><br>③ 「인핸스 아츠」<br><yellow>· PA 버튼을 길게 누르기<c><br>기어를 하나 소비해 PA마다 다른 추가 공격을 발동합니다.<br><c ff4f3f>※기어를 소비하지 않고 발동하면 위력이 감소합니다.<c>"""
text0005#0,"""러스터 건슬래시 PA는 이동 입력의<br>유무에 따라 서로 다른 액션이 발동합니다.<br><br>「무브 아츠」<br><yellow>· 이동 방향을 입력하며 PA 사용<c><br>이동 성능을 지닌 액션이 발동합니다.<br><br>「스테이 아츠」<br><yellow>· 이동 방향을 입력하지 않고 PA 사용<c><br>이동하지 않고 제자리에 머무는 액션이 발동합니다.<br><c ff4f3f>※클래스 스킬 「스테이 아츠」를 습득하지 않았다면<br>   입력 여부와 관계없이 무브 아츠가 발동합니다.<c>"""
Title#2,"""『스타일』에 대하여"""
text0001#2,"""러스터는 장착한 건슬래시의<br>무기 속성에 따라 스타일이 변화합니다.<br><br><yellow>「잔디 스타일」<c><br>번개·바람 속성 건슬래시 장착<br><br><yellow>「포메르 스타일」<c><br>불·어둠 속성 건슬래시 장착<br><br><yellow>「바란 스타일」<c><br>얼음·빛 속성 건슬래시 장착"""
text0002#2,"""잔디 스타일은<br>속도 중시 스타일이며<br><c 00ffff>무브 아츠의 공격 속도가 상승<c>합니다.<br>클래스 스킬을 습득하면<br>무브 아츠와 회피 성공 시<br>보너스를 받을 수 있습니다.<br><br>「잔디 어택 인핸스」<br><yellow>· 통상 공격 버튼을 길게 누르기<c><br>스턴과 끌어당기기 효과가 있는 영역을 생성합니다.<br><br><c ff4f3f>※기어가 모이지 않은 상태에서<br>   발동하면 영역이 생성되지 않습니다.<c>"""
text0003#1,"""「잔디 슛 인핸스」<br><yellow>· 무기 액션 버튼을 길게 누르기<c><br>누른 시간에 따라 기어를 소비해<br>전개한 영역 안의 모든 에너미에게<br>번개를 떨어뜨립니다.<br><br><c ff4f3f>※기어가 하나 이상 모이지 않은<br>   상태에서는 발동하지 않습니다.<c>"""
text0004#1,"""포메르 스타일은<br>공격 중시 스타일이며<br>슈퍼 아머를 활용한 근접전에 능합니다.<br>클래스 스킬을 습득하면<br>인핸스 아츠와 최적의 타이밍에 맞춘<br>JA에 보너스를 받을 수 있습니다.<br><br>「포메르 어택 인핸스」<br><yellow>· 통상 공격 버튼을 길게 누르기<c><br>젤른 효과가 있고 PP 회복력이 높은 창을 세 개 비축합니다.<br>창은 PA 사용 시 자동으로 발사됩니다.<br><br><c ff4f3f>※기어가 모이지 않은 상태에서<br>   발동하면 창이 생성되지 않습니다.<c>"""
text0005#1,"""「포메르 슛 인핸스」<br><yellow>· 무기 액션 버튼을 길게 누르기<c><br>기어를 소비해 연속 찌르기를 발동하고<br>길게 눌러 소비한 기어에 따라<br>강력한 피니시 공격을 가합니다.<br><br><c ff4f3f>※기어가 하나 이상 모이지 않은<br>   상태에서는 발동하지 않습니다.<c>"""
text0006#0,"""바란 스타일은 방어 중시 스타일이며<br><c 00ffff>스테이 아츠의 공격 범위와<br>가드 포인트가 강화<c>됩니다.<br>클래스 스킬을 습득하면<br>스테이 아츠와 가드 성공 시<br>보너스를 받을 수 있습니다.<br><br>「바란 어택 인핸스」<br><yellow>· 통상 공격 버튼을 길게 누르기<c><br>바인드 효과를 지니고 넓은 범위를 계속<br>공격하는 비트를 전개합니다.<br><br><c ff4f3f>※기어가 모이지 않은 상태에서<br>   발동하면 비트가 전개되지 않습니다.<c>"""
text0007#0,"""「바란 슛 인핸스」<br><yellow>· 무기 액션 버튼을 길게 누르기<c><br>기어를 소비해 차지하고<br>소비한 기어에 따라<br>강력한 원거리 저격을 가합니다.<br><br><c ff4f3f>※기어가 하나 이상 모이지 않은<br>   상태에서는 발동하지 않습니다.<c>"""
text0008#0,"""「스타일 퍼지」<br><yellow>· 무기 액션 버튼을 빠르게 두 번 누르기<c><br>PP 회복과 기어 증가량이 뛰어난<br>속성 폭발 공격을 가합니다.<br>사용 후 일정 시간 스타일 효과가 사라집니다.<br><br>「노멀 슛 인핸스」<br><yellow>· 스타일 퍼지 효과 중이거나<br> 무속성 건슬래시 장착 시<br> 무기 액션 버튼을 길게 누르기<c><br>기어, PP 순서로 빠르게 소비하며<br>총으로 연속 사격합니다."""
Title#3,"""『러스터 스킬』에 대하여"""
text0001#3,"""「러스터 볼티지」<br>스킬을 습득하면 서브 팔레트에<br>볼티지 표시가 추가됩니다.<br><br>공격을 명중시킨 횟수에 따라<br>볼티지가 상승하며 위력과<br>받는 피해 감소에 보너스를 얻습니다.<br><br>클래스 스킬을 습득해 나가면<br>볼티지가 더 쉽게 상승하거나<br>자기 지원 효과를 얻을 수 있습니다."""
text0002#3,"""「러스터 볼티지」<br>공격을 명중시키지 않은 채<br>일정 시간이 지나면 볼티지가 초기화됩니다.<br><br><c ff4f3f>※볼티지에는 남은 시간을 나타내는 게이지가<br>   표시되지만 통신 환경에 따라<br>   오차가 발생할 수 있습니다.<c>"""
text0003#2,"""「슬래쉬 라이즈」<br><yellow>· 공격 후 이동 방향을 입력하며 점프<c><br>상승하며 공격합니다. 길게 누르면<br>기어를 소비해 남은 HP에 맞는 지원 테크닉을 발동합니다.<br><br>「슬래쉬 폴」<br><yellow>· 공격 후 이동 방향을 입력하지 않고 점프<c><br>급강하하며 공격합니다. 길게 누르면<br>기어를 소비해 남은 HP에 맞는 지원 테크닉을 발동합니다.<br><br><c ff4f3f>※클래스 스킬 「슬래쉬 폴」을 습득하지 않았다면<br>   입력 여부와 관계없이 슬래쉬 라이즈가 발동합니다.<br>※HP 75% 이상이면 「잔바스」<br>   HP 75% 미만이면 「메기바스」가 자동으로 발동합니다.<c>"""
text0004#2,"""「러스터 스텝 슬라이드」<br><yellow>· 스텝 중 다시 스텝 사용<c><br>PP를 소비해 일정 거리를 이동합니다.<br>에너미가 있으면 동시에 사격합니다.<br><br>「스텝 슬라이드 어드밴스」<br><yellow>· 록온 중 앞이나 뒤로<br> 방향을 입력하며<br> 스텝 중 다시 스텝 사용<c><br>PP를 소비해 입력 방향에 맞는 이동 공격을<br>가합니다. 발동 시 무적 시간이 있습니다."""
text0005#2,"""「러스터 카운터」<br><yellow>· 스텝이나 무기 액션으로<br> 회피에 성공한 뒤 스텝 어택<c><br>회피에 성공한 직후에는 강력한<br>스텝 어택이 발동합니다.<br><br>「러스터 스텝 가드」<br><yellow>· 록온 중 에너미의 공격에 맞춰<br> 앞이나 뒤로 타이밍 좋게 스텝<c><br>에너미의 공격을 저스트 가드하고<br>입력 방향에 맞는 카운터 공격을 가합니다."""
text0006#1,"""「엑스트라 어택」<br><yellow>· 스텝 어택을 제외한 통상 공격을<br> 네 번 연속 사용<c><br>PP와 기어 증가량이 높은 강력한 공격이 발동합니다."""
text0007#1,"""「인핸스 콤보」<br><yellow>· 기어가 하나 이상인 상태에서<br> 인핸스 아츠 중<br> 아무 PA 버튼이나 누르기<c><br>기어를 하나 소비해<br>인핸스 아츠를 연속으로 발동합니다."""
text0008#1,"""「퀵 슬래쉬」<br><yellow>· PA 후 등에 나타나는 가이드 표시에<br> 맞춰 통상 공격<c><br>발동할 때 입력한 방향에 따라<br>고속으로 이동하며 공격합니다.<br><br>「퀵 슛」<br><yellow>· 특정 타이밍에 나타나는<br> 가이드 표시에 맞춰 무기 액션<c><br>스타일에 따라 서로 다른 공격이 발동합니다.<br>공통: 엑스트라 어택 발동 후<br>잔디: 스텝 회피 성공 후<br>포메르: 인핸스 콤보 발동 후<br>바란: 러스터 스텝 가드 발동 후"""
text0009#0,"""「러스터 타임」<br>스킬을 발동하면 범위 공격을 가하며<br>러스터 타임을 시작합니다.<br><br>러스터 타임 중에는 PP 회복량이 증가하고<br>받는 피해가 감소하는 등의 효과를 얻습니다.<br><br>러스터 타임 중 스킬을 다시 발동하면<br>피니시 기술을 발동합니다."""
Title#4,"""『스마트 PA』에 대하여"""
text0001#4,"""러스터의 건슬래시에는<br>간단한 조작으로 액션을 즐길 수 있도록<br>스마트 PA가 준비되어 있습니다.<br><br>스마트 PA는 에너미와의 거리나<br>PA를 연속으로 사용했을 때의 콤보 등<br>상황에 맞춰 자동으로 선택해 발동합니다.<br><br>스마트 PA로 전투할 때도<br>스킬의 효과와 위력이 그대로 발휘됩니다.<br>러스터의 액션에 익숙하지 않거나<br>콤보 구성이 고민될 때 활용해 보십시오."""
