name_7211#0,"""เซียนดี้"""
ssn_019220_002_0010#0,"""ขอบคุณมากนะที่มาพบฉัน ขอแนะนำตัวอีกครั้งก็แล้วกัน"""
ssn_019220_002_0020#0,"""ฉันชื่อเซียนดี้ เป็นนักวิจัยปรากฏการณ์แปลกประหลาดต่างๆ ที่เกิดขึ้นทั่วทั้งฮาลฟาน่ะ"""
ssn_019220_002_0030#0,"""ที่ฉันเรียกคุณมาวันนี้ก็เพื่อจะขอความช่วยเหลือ ในการสืบสวนปรากฏการณ์หนึ่งที่กำลังเกิดขึ้นอยู่ในตอนนี้"""
ssn_019220_002_0011#0,"""ขอบคุณมากนะที่มาพบฉัน"""
ssn_019220_002_0021#0,"""ที่ฉันเรียกคุณมา ก็เพราะหวังว่าคุณจะช่วยงานสืบสวนของฉันอีกงานน่ะ..."""
ssn_019220_002_0040#0,"""ปรากฏว่าช่วงนี้ที่ Kvaris มีปรากฏการณ์สภาพอากาศที่ผิดปกติเกิดขึ้นน่ะ"""
ssn_019220_002_0050#0,"""การสืบสวนของฉันคือการหาผลกระทบของมัน ว่ามันมีผลกับต้นไม้และพุ่มไม้ในท้องถิ่นหรือเปล่า"""
ssn_019220_002_0060#0,"""ฉันได้เลือกสถานที่ไม่กี่แห่งที่คิดว่าน่าจะสังเกตเห็นการเปลี่ยนแปลงได้ง่ายไว้แล้ว แต่ว่า..."""
ssn_019220_002_0070#0,"""คุณพอจะเดินทางไปสถานที่พวกนั้น แล้วช่วยเก็บข้อมูลมาให้ฉันหน่อยได้ไหม?"""
ssn_019220_002_0080#0,"""ทำตอนไหนก็ได้ที่คุณว่างเลยนะ จะขอบคุณมากเลยล่ะ ขอบคุณล่วงหน้านะ"""
ssn_019220_002_0300#0,"""<%me> ขอบคุณมากเลยนะ!"""
ssn_019220_002_0310#0,"""ปรากฏการณ์สภาพอากาศล่าสุดนี้ ดูจะผิดปกติไปมากสำหรับ Kvaris อย่างที่ฉันคาดไว้เลย"""
ssn_019220_002_0320#0,"""แต่ว่า ฉันยังต้องทำการวิจัยเพิ่มเติม เพื่อหาคำตอบว่าอะไรเป็นสาเหตุที่ทำให้มันเกิดขึ้น..."""
ssn_019220_002_0330#0,"""ถ้าคุณไม่ว่าอะไร ฉันขอรบกวนความช่วยเหลืออันมีน้ำใจของคุณในเรื่องนี้ต่อไปได้ไหม?"""
ssn_019220_002_0340#0,"""ฉันอยากจะรู้ด้วยว่าสภาพอากาศนี้ ส่งผลต่อพวกศัตรูบ้างหรือเปล่าน่ะ"""
ssn_019220_002_0350#0,"""ฉันจะรอคุณกลับมานะ!"""
ssn_019220_002_0900#0,"""ต้นไม้ที่ Kvaris ดูสวยงามมากเลยใช่ไหมล่ะ?"""
ssn_019220_002_0910#0,"""อนิจจา สัญชาตญาณนักวิจัยในตัวฉันไม่ยอมให้ฉันแค่ชื่นชมทิวทัศน์หรอกนะ"""
npc_menu_0010#0,"""แลกเปลี่ยนแต้ม Seasonal (จนถึง $(0))"""
npc_menu_0020#0,"""แลกเปลี่ยนแต้ม Seasonal ปีใหม่ '24 (จนถึง $(0))"""
npc_menu_0030#0,"""แลกเปลี่ยนแร่ (จนถึง $(0))"""
npc_menu_0040#0,"""รีไซเคิลไอเทม (จนถึง $(0))"""
npc_menu_0050#0,"""ถามเกี่ยวกับกิจกรรม Seasonal"""
npc_menu_0060#0,"""ปิดเมนู"""
npc_menu_1010#0,"""เกี่ยวกับกิจกรรม Seasonal"""
npc_menu_1020#0,"""เกี่ยวกับศัตรู Seasonal"""
npc_menu_1040#0,"""เกี่ยวกับ Region Mag ประจำฤดูกาล"""
npc_menu_1050#0,"""เกี่ยวกับ Randomite"""
npc_menu_2000#0,"""ช่างเถอะ"""
