name01#0,"""シエラ"""
text01#0,"""El Gear no solo se llena atacando a los enemigos, <red>también se llena cuando realizas un Just Guard, y simplemente moviéndote<c>. ¡Darle una oportunidad!"""
text101#0,"""Tarea 2: <yellow>Llene la barra del Gear al máximo<c>"""
train_title#0,"""Tarea 2: <yellow>Llene la barra del Gear al máximo<c>"""
tut_title#0,"""エトワールウォンドギアについて"""
text100#0,"""・Golpea a los enemigos para llenar el Gear<br>・Muévete con tu Wand en la mano para llenar el Gear"""
tut_win_title#0,"""『エトワールウォンドギア』について"""
tut_win_text100#0,"""Cuando aprendes la habilidad \""Etoile Wand Gear\"", se agrega una barra en la parte superior de la Paleta de armas.<br><br>El Gear se puede llenar de las siguientes maneras:<br><yellow>・Atacar a los enemigos<br>・Caminando<br>・Just Guarding (Bloqueando ataques)<c><br><br>Puedes consumir el Gear para mantener un escudo atu alrededor con WA. Si consumes suficiente de tu Gear, activarás el ataque especial \""Protect Release\""."""
tut_win_text101#0,"""Protect Release<br><yellow>・Active Charge Protect, mantenga presionado el botón hasta que haya consumido suficiente de su Gear, luego suelte el botón<c> para realizar un poderoso ataque de amplio alcance a su alrededor. Si realiza Protect Release mientras ingresa la entrada de movimiento, se moverá rápidamente antes de realizar el ataque.<br><br>※El poder de Protect Release se puede aumentar consumiendo aún más el Indicador del gear antes de activarlo."""
tut_vita_text100#0,"""Cuando aprendes la habilidad \""Etoile Wand Gear\"", se agrega una barra en la parte superior de la Paleta de armas.<br><br>El Gear se puede llenar de las siguientes maneras:<br><yellow>・Atacar a los enemigos<br>・Caminando<br>・Just Guarding (Bloqueando ataques)<c><br><br>Puedes consumir el Gear para mantener un escudo atu alrededor con WA. Si consumes suficiente de tu Gear, activarás el ataque especial \""Protect Release\""."""
tut_vita_text101#0,"""Protect Release<br><yellow>・Active Charge Protect, mantenga presionado el botón hasta que haya consumido suficiente de su Gear, luego suelte el botón<c> para realizar un poderoso ataque de amplio alcance a su alrededor. Si realiza Protect Release mientras ingresa la entrada de movimiento, se moverá rápidamente antes de realizar el ataque.<br><br>※El poder de Protect Release se puede aumentar consumiendo aún más el Indicador del gear antes de activarlo."""
