name01#0,"""Xiera"""
11_voice_train_04001#0,"""Hello! This is the \""Double Saber<br>Basics\"" training course!"""
text01#0,"""Etoile is a successor class that focuses on <red>melee attacks<c>, as well as <red>strong defenses<c> and <red>support skills<c>."""
text02#0,"""The weapons Etoile uses are <red>Double Sabers<c>, <red>Dual Blades<c> and <red>Wands<c>."""
text03#0,"""In this course, we'll learn how to use Double Sabers to fight as an Etoile. Let's get started!"""
text04#0,"""Etoile Double Saber has <red>high mobility<c>, making it good at <red>aerial combat<c>."""
text05#0,"""First, let's learn about Double Saber Gear. The Double Saber Gear Gauge fills when you attack enemies. Try it out now!"""
text101#0,"""Task 1: <yellow>Attack enemies and fill the Gear Gauge<c>"""
train_title#0,"""Task 1: <yellow>Attack enemies and fill the Gear Gauge<c>"""
tut_title#0,"""Etoile Double Saber Gear"""
text100#0,"""・Hit enemies and fill the Gear Gauge"""
tut_win_title#0,"""Etoile Double Saber Gear"""
tut_win_text100#0,"""When you learn the skill \""Etoile Double Saber Gear\"", a Gear Gauge is added to the top of the Weapon Palette.<br><br>The Gear Gauge fills as you attack enemies, and when you take damage, Gear will be consumed to reduce the damage you take.<br><br>The more you attack, the better your defenses will be, so don't stop fighting."""
tut_win_text101#0,"""In addition, you can consume your Gear to trigger a powerful attack called \""Enhance Attack\"".<br><br>It's up to you to assess each battle and decide whether to use your Gear for attack or defence.<br><br>Enhance Attack<br><yellow>・Hold the normal attack button<c> to consume one unit of Gear and perform a powerful attack.<br><c ff4f3f><br>※If activated with less than 1 unit of Gear, the attack's power will be reduced.<c>"""
tut_vita_text100#0,"""When you learn the skill \""Etoile Double Saber Gear\"", a Gear Gauge is added to the top of the Weapon Palette.<br><br>The Gear Gauge fills as you attack enemies, and when you take damage, Gear will be consumed to reduce the damage you take.<br><br>The more you attack, the better your defenses will be, so don't stop fighting."""
tut_vita_text101#0,"""In addition, you can consume your Gear to trigger a powerful attack called \""Enhance Attack\"".<br><br>It's up to you to assess each battle and decide whether to use your Gear for attack or defence.<br><br>Enhance Attack<br><yellow>・Hold the normal attack button<c> to consume one unit of Gear and perform a powerful attack.<br><c ff4f3f><br>※If activated with less than 1 unit of Gear, the attack's power will be reduced.<c>"""
