name01#0,"""シエラ"""
11_voice_train_04006#0,"""¡Asombroso! Eso es un Skip PA."""
text02#0,"""¡Un Skip PA <red>bloqueará los ataques enemigos en el momento en que lo uses<c>!, ¡Recuérdalo!"""
text03#0,"""¡Omitir PA hace que sea fácil golpear a los enemigos con PA que normalmente son difíciles de usar!"""
text04#0,"""Ahora vamos con <red>Quick Take<c>.Cuando aprendes esta habilidad, después de usar un PA, si atacas en el momento exacto, ¡Puedes acortar la distancia del enemigo!"""
text05#0,"""¡Derrotalos en un parpadeo!, <red>Cuando veas que aparezca una marca<c>, ¡Usa un ataque normal o una WA!"""
text101#0,"""Tarea 3: <yellow>Golpea al enemigo con un Quick Take<c>"""
train_title#0,"""Tarea 3: <yellow>Golpea al enemigo con un Quick Take<c>"""
tut_title#0,"""クイックテイクについて"""
text100#0,"""・ Use un Photon Art con <% PhotonArts><br> ・ Cuando veas la marca amarilla,<br> realizar un ataque normal con <%NormalAttack><br> o una acción de arma con <%WeaponAction>"""
text100_3b#0,"""・ Use un Photon Art con <% PhotonArts><br> ・ Cuando veas la marca amarilla,<br> realizar un ataque normal con <%NormalAttack><br> o una acción de arma con <%MainPaletteC>"""
