name01#0,"""シエラ"""
text01#0,"""A continuación, aprendamos sobre el gear del <pict du_icon>"""
text02#0,"""¡Comencemos con Gear! ¡El Gear se acumulará gradualmente a medida que atacas al enemigo!"""
text101#0,"""Tarea 2: <yellow> Ataca a los enemigos y llena el medidor de engranajes<c>"""
train_title#0,"""Tarea 2: <yellow> Ataca a los enemigos y llena el medidor de engranajes<c>"""
tut_title#0,"""チュートリアル動画タイトル"""
text100#0,"""・ Golpea a los enemigos y llena el medidor de Gear"""
tut_win_title#0,"""チュートリアル動画タイトル"""
tut_win_text100#0,"""Cuando aprendes la habilidad \""Etoile Dual Blade Gear\"", se agrega una bara a la parte superior de la paleta de armas.<br><br>La barra se llena a medida que atacas a los enemigos. Cuando la barra ha alcanzado un cierto nivel, puedes usar un poderoso ataque llamado \""Connect\"".<br><br>Además, al consumir toda la barra, puedes realizar el movimiento especial \""Full Connect\"" que es aún más poderoso."""
tut_win_text101#0,"""Connect<br><yellow>・Usa tu WA después del Step cuando el indicador del Gear esté al 50% o más<c> para conectar Edges  a tus <pict du_icon>  y efectuar un poderoso ataque de área, que consume el 50% del Gear.<br><brFull Connect<br><yellow>・Cuando tu Gear esté lleno, usa Connect, luego usa tu WA de nuevo <c>para realizar un ataque especial increíblemente poderoso que consume todo tu Gear. Usa esto sabiamente."""
tut_vita_text100#0,"""Cuando aprendes la habilidad \""Etoile Dual Blade Gear\"", se agrega una bara a la parte superior de la paleta de armas.<br><br>La barra se llena a medida que atacas a los enemigos. Cuando la barra ha alcanzado un cierto nivel, puedes usar un poderoso ataque llamado \""Connect\"".<br><br>Además, al consumir toda la barra, puedes realizar el movimiento especial \""Full Connect\"" que es aún más poderoso."""
tut_vita_text101#0,"""Connect<br><yellow>・Usa tu WA después del Step cuando el indicador del Gear esté al 50% o más<c> para conectar Edges  a tus <pict du_icon>  y efectuar un poderoso ataque de área, que consume el 50% del Gear.<br><brFull Connect<br><yellow>・Cuando tu Gear esté lleno, usa Connect, luego usa tu WA de nuevo <c>para realizar un ataque especial increíblemente poderoso que consume todo tu Gear. Usa esto sabiamente."""
