name01#0,"""シエラ"""
text01#0,"""¡Algunas habilidades de clase cambian las acciones de Double Saber cuando las aprendes!"""
text02#0,"""Uno de ellos es <red>\""Skip Arts\""<c>."""
text03#0,"""¡Cuando aprendas Skip Arts, podras <red>saltarte la primera secuencia<c> de un PA para llegar rápidamente a la segunda mitad!"""
text04#0,"""Después de aprender Skip Arts, solo realizarás la primera mitad de un PA si no te mueves."""
text05#0,"""Si lo usas sin moverte, Skip Arts lo saltará directamente a la segunda mitad del PA"""
text06#0,"""Primero, veamos cómo se ve su PA. Usa un PA mientras mantienes una dirección"""
text101#0,"""Tarea 3: <yellow>Use un PA mientras mantienes una dirección<c>"""
train_title#0,"""Tarea 3: <yellow>Use un PA mientras mantienes una dirección<c>"""
tut_title#0,"""フォトンアーツについて"""
text100#0,"""・ Usa un Photon Art con <%PhotonArts><br>al ingresar la entrada de movimiento"""
tut_win_title#0,"""『エトワールダブルセイバーの固有スキル』について"""
tut_win_text100#0,"""Hay muchas habilidades que alteran las acciones disponibles para el Double Saber del Etoile . Selecciona tus habilidades con mucho cuidado y personaliza tus acciones de Etoile Double Saber de una manera que se adapte a tu estilo de lucha.<br><br>Double Saber Step Slide<br><yellow> ・ Durante un Step, use Step nuevamente<c> para pasar a una acción de movimiento suave que le permita controlar su dirección.<br>※La velocidad de movimiento aumenta mientras marcas un objetivo."""
tut_win_text101#0,"""Double Saber Skip Arts<br><yellow>・ Usa un PA mientras permaneces quieto<c> para omitir la primera mitad del PA.<br><br><yellow> ・ Usar un PA mientras te mueves funcionará igual que si no hubieras aprendido esta habilidad."""
tut_win_text102#0,"""Double Saber Quick Take<br><yellow>・Después de una PA o WA, usa una PA o un ataque normal cuando la marca en pantalla indique <c>para acercarte al enemigo a una alta velocidad y atacar.<br><br>Double Saber Step Guard<br><yellow>・Avanza hacia un enemigo justo cuando están a punto de golpearte<c> para protegerse de su ataque y realizar un contraataque de alta velocidad."""
