name01#0,"""Xiera"""
11_voice_train_04001#0,"""Hello! This is the \""Dual Blade Basics\"" training course!"""
text02#0,"""Etoile is a successor class that focuses on <red>melee attacks<c>, as well as <red>strong defenses<c> and <red>support skills<c>."""
text03#0,"""The weapons Etoile uses are <red>Double Sabers<c>, <red>Dual Blades<c> and <red>Wands<c>."""
text04#0,"""In this course, we'll learn how to use Dual Blades to fight as an Etoile.<br>Let's get started!"""
text05#0,"""Etoile Dual Blades are good at <red>avoiding damage without having to stop attacking<c>."""
text06#0,"""The Dual Blade Weapon Action has two functions. The first is <red>\""Parry\""<c>."""
text07#0,"""If you use your Weapon Action right before an enemy attack hits you, you can <red>block the attack and hit back at the same time<c>."""
text08#0,"""Parry can even be used <red>while moving or attacking<c>! Let's try it!"""
text101#0,"""Task 1: <yellow>Block an enemy attack with Parry<c>"""
train_title#0,"""Task 1: <yellow>Block an enemy attack with Parry<c>"""
tut_title#0,"""Parry"""
text100#0,"""・Just before an enemy attack hits:<br>\u3000Use your Weapon Action with <%WeaponAction>"""
text100_3b#0,"""・Just before an enemy attack hits:<br>\u3000Use your Weapon Action with <%MainPaletteC>"""
tut_win_title#0,"""The Etoile Dual Blade Weapon Action"""
tut_win_text100#0,"""The Etoile Dual Blade Weapon Action, Parry, blocks attacks from all directions. If you successfully block an attack, you will strike back against the enemy with a powerful counterattack.<br><br>Parry can be used in the middle of PAs, normal attacks and other actions, so you don't have to break your flow in combat to block enemy attacks."""
tut_win_text101#0,"""Step Edge<br><yellow>・Use your Weapon Action during a Step<c> to throw Edges that attack distant enemies.<br><br>Use this to adjust your position and make sure your next attack will connect."""
