name_7224#0,"""ไซเทร"""
ssn_019440_002_0010#0,"""<%me>！\u3000<br>ขอบคุณที่มานะ"""
ssn_019440_002_0020#0,"""คือว่า มีเรื่องอยากจะปรึกษาหน่อยน่ะ……"""
ssn_019440_002_0030#0,"""ช่วงนี้ดูเหมือนว่า Enemy ที่มี Symbol คลุ้มคลั่ง<br>จะเพิ่มจำนวนขึ้นน่ะ"""
ssn_019440_002_0040#0,"""ระหว่างที่ขนส่งเสบียง<br>ก็มักจะถูกโจมตีอยู่บ่อยๆ เลย……"""
ssn_019440_002_0050#0,"""ดังนั้น เลยอยากจะขอร้อง ARKS ที่ยอดเยี่ยมอย่างคุณ<br>ให้ช่วยไปกำจัด Enemy พวกนั้นหน่อยน่ะ"""
ssn_019440_002_0060#0,"""คงจะพอช่วยได้…… ใช่ไหม?"""
ssn_019440_002_0070#0,"""ถ้าอย่างนั้น ฝากด้วยนะ!"""
ssn_019440_002_0900#0,"""เสบียงคือสิ่งสำคัญในการต่อสู้!"""
ssn_019440_002_0910#0,"""……แต่ว่า ตอนนี้สิ่งสำคัญที่ว่ากำลังตกอยู่ในอันตรายน่ะสิ……"""
npc_menu_0010#0,"""แลกเปลี่ยนด้วย Seasonal Point (จนถึง $(0))"""
npc_menu_0020#0,"""แลกเปลี่ยนด้วย Seasonal Point ครั้งก่อน (จนถึง $(0))"""
npc_menu_0080#0,"""Item Recycle ครั้งก่อน (จนถึง $(0))"""
npc_menu_0030#0,"""แลกเปลี่ยนด้วยแร่ (จนถึง $(0))"""
npc_menu_0040#0,"""Item Recycle (จนถึง $(0))"""
npc_menu_0050#0,"""ถามเกี่ยวกับ Seasonal Event"""
npc_menu_0060#0,"""ปิดเมนู"""
npc_menu_0070#0,"""แลกเปลี่ยนด้วย 【 N-Grinder 】"""
npc_menu_1010#0,"""เกี่ยวกับ 【 Seasonal Event 】"""
npc_menu_1020#0,"""เกี่ยวกับ 【 Season Enemy 】"""
npc_menu_1030#0,"""เกี่ยวกับ 【 Mischief Symbol 】"""
npc_menu_1040#0,"""เกี่ยวกับ 【 Seasonal Region Mag 】"""
npc_menu_1050#0,"""เกี่ยวกับ 【 Randamite 】"""
npc_menu_2000#0,"""ไม่มีเรื่องที่จะถาม"""
