name01#0,"""Pudding"""
11_voice_NPC_5082_104#0,"""<%me>. I am Equipment Admin Pudding."""
text02#0,"""You're the only one I could've contacted about this. It's regarding the plans for the new ARKS Training Facility."""
text03#0,"""I call it \""Extreme Quests\"".In order to take on these quests, you need a special pass."""
text04#0,"""The passes are handled by me, so if you have time please come get one."""
text05#0,"""Now then, keep up the good work."""
linewindow#0,""" About \""Extreme Quests\"". """
text00#0,"""About \""Extreme Quests\""."""
text01#0,"""I will explain \""Extreme Quests\"" to you. \""Extreme Quests\"" are a training program prepared to give you the ability to achieve tasks under harsh circumstances. You can use the Campship in the hangar of the ARKS Ship to get there. Simply use the gate there to dive into VR Space. In VR Space, several areas known as \""Stages\"" are set up in a row. The Stages expand at fixed intervals."""
text02#1,"""In order to start an \""Extreme Quest\"" you need an \""Extreme Pass\"". You can have Equipment Admin Pudding attach one \""Extreme Pass\"" to your <yellow>Account. You can only get one<c> pass every 22 hours."""
text03#1,"""エクストリームクエストでは倒したエネミーが<br>「<yellow>原石<c>」や「<yellow>欠片<c>」と呼ばれるアイテムを<br>ドロップする場合があります。<br><br>原石・欠片には種類があり、入手できる種類は<br>エクストリームクエストごとに異なります。<br><br>また、エネミーのドロップ以外にも<br>クエストの最終エリアをクリアすることで<br>大量に入手することができます。<br><br>原石と欠片はアークス・ロビーの魔石交換ショップで<br>強力な武器や防具と交換することができます。"""
