st_064100_0010#0,"""……바루나.<br>역시 바루나였군요."""
st_064100_0020#0,"""……하리엣 님.<br>기다리고 있었습니다."""
st_064100_0030#0,"""어, 어？ 뭐야！？<br>하리엣의 부관 맞지？<br>왜 거기 있는 거야？"""
st_064100_0040#0,"""아닙니다, 마르가레타.<br>지금의 바루나는……우리의 적입니다."""
st_064100_0050#0,"""뭐！？ 적이라고！？<br>저 녀석, 하리엣에게<br>그렇게 충성을 맹세했잖아！？"""
st_064100_0060#0,"""그 모든 행동이 대의를 위해<br>필요했을 뿐입니다. 그게 전부입니다."""
st_064100_0070#0,"""대의를 위해……？<br>하리엣을 구하려고<br>그렇게 필사적이었잖아！"""
st_064100_0080#0,"""그 모든 게 전부 거짓이고<br>연기였다는 거야！？"""
st_064100_0090#0,"""……마르가레타 님.<br>그 문답은 이미 끝났습니다."""
st_064100_0100#0,"""제 주군은 오직 한 분,<br>종말의 여신 시바뿐입니다.<br>저는 주군을 가로막는 자를 없앱니다."""
st_064100_0110#0,"""그것이 정의의 남신 바루나의 사명입니다."""
st_064100_0120#0,"""그렇다면, 정말 그렇다면 말이야.<br>스스로에게 되뇌는 것처럼<br>말하지 말란 말이야."""
st_064100_0130#0,"""……！"""
st_064100_0140#0,"""지금 모습, 완전히 똑같아.<br>마음 조종에 휘둘리던<br>우리 전 국왕의 측근이랑."""
st_064100_0150#0,"""많이 엮인 사이는 아니지만<br>그런 표정은 아니었다는 것쯤 기억해.<br>훨씬 사람다운 얼굴이었어."""
st_064100_0160#0,"""바루나……"""
st_064100_0170#0,"""제 주군……궁극 존재 시바를 보좌한다.<br>그 목적을 위해 그림자인 미트라와<br>어떤 명령이든 따를 제가 만들어졌다."""
st_064100_0180#0,"""하지만 사명을 이루지 못한 채<br>우리는 세계에서 쫓겨났다……"""
st_064100_0190#0,"""존재 자체가 허공에 봉인되었어도<br>……우리는 함께였다."""
st_064100_0200#0,"""그리고 지금, 다시 돌아온 이때야말로<br>주군의 뜻대로 그 명을 수행하겠다！<br>그것이 곧 정의이며 충절이다！"""
st_064100_0210#0,"""그렇다면 제가 바루나를 막겠습니다.<br>한때 함께 길을 걸었던 자로서."""
