un_065040_0010#0,"""어머어머어머.<br>이 별의 무녀님인가요오？"""
un_065040_0020#0,"""리사는 아직 무녀님을<br>쏴 본 적이 없어요. 그러니까 그러니까<br>한 번 쏴 봐도 될까요오？"""
un_065040_0030#0,"""하아……이건 또<br>엄청난 손님이로구나."""
un_065040_0040#0,"""이봐, <%me><br>문병하러 온 것이냐, 소첩을 괴롭히러<br>온 것이냐. 어느 쪽이냐."""
un_065040_0050#0,"""그만하세요, 리사. 실례잖아요！<br>정말 죄송합니다.<br>리사가 큰 결례를……"""
un_065040_0060#0,"""갑자기 싸움을 걸더니<br>이번에는 고개 숙여 사과하다니<br>참으로 어처구니없구나. 자, 설명해 보거라."""
un_065040_0070#0,"""그렇군. 사정은 알았다."""
un_065040_0080#0,"""하지만 결계에 관한 일이라면<br>이미 샤오에게 모두 전했다.<br>그대들이 아는 것보다 더 말해 줄 건 없다만？"""
un_065040_0090#0,"""그래도 괜찮습니다.<br>다른 사람을 거치지 않고 직접 들으면<br>새로 알게 되는 일이 있을지도 모릅니다."""
un_065040_0100#0,"""아무튼 지금 할 수 있는 일은<br>모두 해 두고 싶습니다."""
un_065040_0110#0,"""하리엣 말이 맞네요오.<br>아무리 많이 해도 지나치지 않으니까요오."""
un_065040_0120#0,"""무엇보다 이 정도 수고를<br>아끼다가 실패하는 건<br>리사로서는 있을 수 없는 일이에요오."""
un_065040_0130#0,"""이런 이런……고생이 많구나.<br>뭐, 이야기해 줘도 좋다만……<br>그 대신 조건이 하나 있다."""
un_065040_0140#0,"""네……무엇이든 말씀하세요."""
un_065040_0150#0,"""……모든 일이 끝나면<br>자세한 사정을 들려주지 않겠느냐？"""
un_065040_0160#0,"""그래, 다과회를 열자꾸나.<br>꽃을 바라보며 느긋하게 말이다."""
un_065040_0170#0,"""차에는 관심 없어요.<br>그보다 리사는 무녀님을 쏘는 일에<br>정말정말 관심이 많아요오."""
un_065040_0180#0,"""카캇, 그대의 반쪽은 한결같구나.<br>그럼 다과회에서 즐길 거리로 기대하거라."""
un_065040_0190#0,"""역시 무녀님, 말이 통하네요오.<br>기대돼요오. 후훗, 후후훗."""
un_065040_0200#0,"""스쿠나히메 님, 너무 쉽게 그런 말씀은<br>하지 않는 편이 좋을 것 같습니다……"""
un_065040_0210#0,"""리사는 정말로 스쿠나히메 님을<br>쏠 생각이니까요……"""
un_065040_0220#0,"""카캇！ 소첩은 무녀다.<br>그리 쉽게 총에 맞아 줄 생각은 없다.<br>그보다 그대는 어떠냐？"""
un_065040_0230#0,"""이번 싸움에서 살아 돌아와……<br>소첩에게 이야깃거리 하나쯤<br>들려줄 것이지？"""
un_065040_0240#0,"""……알겠습니다.<br>그 조건을 받아들이겠습니다."""
un_065040_0250#0,"""반드시 살아 돌아와……<br>다과회에 참석하겠습니다."""
un_065040_0260#0,"""그래. 잊지 말거라？"""
un_065040_0270#0,"""리사가 쏘게 해 주겠다는 약속도<br>절대절대 잊으면 안 돼요오."""
un_065040_0280#0,"""뭐, 잊어도 쏠 거지만요.<br>후훗. 후후훗."""
un_065040_0290#0,"""알았다, 알았다！<br>……그대야말로 살아 돌아오면<br>잊지 말고 다과회에 오거라. 알겠느냐."""
un_065040_0300#0,"""그럼 결계에 관해<br>처음부터 이야기해 주마……"""
