st_064110_0010#0,"""윽……하……！"""
st_064110_0020#0,"""……대단하군요.<br>하지만 제 목적도 이로써 달성했습니다."""
st_064110_0030#0,"""무슨 짓을！"""
st_064110_0040#0,"""수호휘사 일행이 한 일과 반대로……！<br>제 몸을 제물로 삼아 영맥을 부순다……"""
st_064110_0050#0,"""싸움으로 달아오른 마나를 이용해<br>모여든 힘을 산산이 부순다！"""
st_064110_0060#0,"""……하아.<br>지금까지 쏜 것 중 가장 불쾌한 감촉이네요오.<br>하리엣도 그렇게 생각하지 않나요오？"""
st_064110_0070#0,"""……훌륭하십니다, 하리엣 님."""
st_064110_0080#0,"""바루나……왜 이렇게까지……<br>시바는 정말 목숨을 바쳐 섬길<br>가치가 있는 상대였습니까？"""
st_064110_0090#0,"""저로서는 알 수 없습니다.<br>다만 제가 여기서 죽어도<br>주군은 눈물을 흘리지 않겠죠."""
st_064110_0100#0,"""……하지만 그게 무슨 상관입니까？"""
st_064110_0110#0,"""충성은 주군에게 대가를 바라며<br>바치는 것이 아닙니다.<br>마지못한 일도 아닙니다. 그저 당연할 뿐."""
st_064110_0120#0,"""이렇게 주군을 위해<br>뜻을 이루지 못한 채 쓰러지는 것 또한<br>분명 제 뜻입니다."""
st_064110_0130#0,"""하지만 하리엣 님……"""
st_064110_0140#0,"""저……아니, 나는 이곳에 있을 때<br>정의의 남신이 아니라……<br>그저 나로서 걸을 수 있었습니다."""
st_064110_0150#0,"""짧은 시간이었지만<br>하리엣 님과 함께할 수 있어서<br>나는……고마웠습니다."""
st_064110_0160#0,"""……바루나."""
st_064110_0170#0,"""수호휘사……나는 무엇이 옳고<br>무엇이 그른지 모른다."""
st_064110_0180#0,"""수호휘사와 주군의 싸움이 어떻게 끝나는지가<br>곧 세계의 선택이겠지."""
st_064110_0190#0,"""그러니……뒷일을 부탁한다."""
st_064110_0200#0,"""바루나……부디 편히 쉬세요……"""
st_064110_0210#0,"""하리엣……"""
st_064110_0220#0,"""……괜찮습니다, 마르가레타.<br>슬퍼할 시간은 없습니다.<br>지금 이 순간에도 싸움은 계속되고 있습니다."""
st_064110_0230#0,"""영맥을 붙들고 결계를 펼치지 않으면<br>오메가에도 오라클에도 평화는 오지 않습니다.<br>……제가 이곳의 쐐기가 되겠습니다."""
st_064110_0240#0,"""적 세력의 움직임이 멈췄습니다！<br>이것이 포토너의 힘을 가두는 결계……！"""
st_064110_0250#0,"""하지만 저는 스쿠나히메 씨가 아니기에<br>모든 일을 완벽하게 해낼 수는 없습니다.<br>결계의 효과도 완전하지는 않을 겁니다."""
st_064110_0260#0,"""결계를 계속 펼쳐 두기 위해<br>제가 이곳에 남겠습니다."""
st_064110_0270#0,"""하지만 결계를<br>언제까지 유지할 수 있을지는 모릅니다.<br>그러니……부탁드립니다, 수호휘사."""
st_064110_0272#0,"""그럼 나도 여기에 남을게.<br>하리엣은 우리 나라의 신이고<br>나는 우리 나라의 신왕님이니까！"""
st_064110_0274#0,"""고맙습니다, 마르가레타."""
st_064110_0280#0,"""……리사, 지금까지 함께해 줘서<br>고맙습니다.<br>정말……든든했습니다."""
st_064110_0290#0,"""어머어머어머, 마지막 인사 같은<br>말은 그만해 주시겠어요오？"""
st_064110_0300#0,"""음？ 하지만 이미 한 번<br>삶이 끝난 몸이니<br>틀린 말은 아닐지도 모르겠네요오."""
st_064110_0310#0,"""뭐, 그건 그렇다 치고.<br>리사는 여기서 헤어질 생각이<br>전혀, 조금도, 눈곱만큼도 없어요오."""
st_064110_0320#0,"""아직 재미있는 일이 잔뜩 남아 있어요.<br>그러니 모든 일이 끝나면<br>다시 만나요오."""
st_064110_0330#0,"""…………네."""
