11_voice_NPC_5009_101#0,"""Oh, it's you, is it? Perfect timing."""
Aki_favs_before_020#0,"""I don't have any use for this. If you want it, it's yours."""
Aki_favs_after_010#0,"""You've been doing a lot for me. Think of it as a thank you for that."""
Aki_favs_after_020#0,"""There's more where that came from, if you keep helping me."""
Aki_favs_present_010#0,"""Received <yellow>Synthesizer<c> from Aki."""
Aki_favs_present_020#0,"""Received <yellow>Aiming Shot<c> from Aki."""
Aki_favs_present_030#0,"""Received <yellow>Synthesizer<c> from Aki."""
Aki_favs_present_040#0,"""Received <yellow>Synthesizer<c> from Aki."""
Aki_favs_present_050#0,"""Received <yellow>Rage Dance<c> from Aki."""
Aki_favs_present_060#0,"""Received <yellow>Synthesizer<c> from Aki."""
Aki_favs_present_070#0,"""Received <yellow>Synthesizer<c> from Aki."""
Aki_favs_present_080#0,"""Received <yellow>Tri-Impact<c> from Aki."""
Aki_favs_present_090#0,"""Received <yellow>Synthesizer<c> from Aki."""
Aki_favs_present_100#0,"""Received <yellow>Synthesizer<c> from Aki."""
Aki_favs_present_add_001#0,"""Received <yellow><%skit_text><c> from Aki."""
11_voice_NPC_5009_105#0,"""……失礼。<br>話しかけないでもらえるかな。<br>考えをまとめている最中なんだ。"""
11_voice_NPC_5009_102#0,"""キミはどうして私に話しかけた？<br>その理由を自身で見出さなければ<br>私は答える言葉を持たないよ。"""
11_voice_NPC_5009_103#0,"""私の思考は抽象的すぎると揶揄される。<br>枠が広すぎると、言いたいのだろうね。<br>私からしてみれば、唾棄すべき意見だ。"""
Aki_03_020#0,"""自ら縛りをもうけた思考や思案に<br>何の意味があるというのか。<br>考えなければ、人は死ぬぞ。"""
11_voice_NPC_5009_100#0,"""有史上において最も偉大な出来事は<br>フォトンの発見だろうな。<br>だが、その経緯には疑問も多い。"""
Aki_04_020#0,"""これだけ大きな事象だというのに<br>記録がほとんど残っていない。<br>誰がどうやって見つけたのか。謎だね。"""
11_voice_NPC_5009_102#1,"""人の行動には全て目的が付随する。<br>目的無き行動は、行動とは呼べず<br>その人は人ではなく、物だよ。"""
11_voice_NPC_5009_100#1,"""飽くなき探求心は全ての原動力となる。<br>キミも、何かを疑い、真実を求める<br>姿勢を忘れない方がいい。"""
11_voice_NPC_5009_100#2,"""真実と事実は容易に異なるよ。<br>それを理解せず、認めようとしない者は<br>痛い目を見る。世の仕組みだ。"""
11_voice_NPC_5009_101#1,"""キミは面白いね。<br>会うたび、違う空気をまとっている。<br>誰よりも何よりも、興味深いよ。"""
11_voice_NPC_5009_100#3,"""キミは、生命が発生する瞬間を<br>考えてみたことがあるかな？<br>ひどく神秘的なものだよ。"""
Aki_09_020#0,"""意識はどうやって発生しているのか<br>誰も解き明かせていない。<br>故に生命は興味深く、貴重なんだ。"""
11_voice_NPC_5009_100#4,"""私が龍族に拘る理由？<br>簡単な話だよ。彼らの生命は鮮烈だ。<br>見た者を魅了する強さがある。"""
11_voice_NPC_5009_108#0,"""私がアークスの資格を取ったのは<br>たまたま適性があったからさ。<br>その使命に殉じるつもりはないよ。"""
11_voice_NPC_5009_100#5,"""なによりも人の為にと動く人もいれば<br>私のように利己の為に動く人もいる。<br>アークスとは、そういう組織だよ。"""
11_voice_NPC_5009_104#0,"""アークスは、こと戦闘などにおいては<br>非常に秀でた力を持っている。<br>それは周知の事実だ。"""
Aki_13_020#0,"""だがその反面、研究や分析等については<br>システム任せな感が否めないな。<br>……若干、歪にすら見える。"""
11_voice_NPC_5009_103#1,"""誰かのために命を賭けて、と言う者は<br>残される側のことを一切考えていない。<br>話にならない、頑固で臆病なやつらだ。"""
11_voice_NPC_5009_104#1,"""別に私は研究者になろうとはしてない。<br>自分の知りたいことを調べていたら<br>いつの間にか、そう呼ばれていたのさ。"""
Aki_15_020#0,"""肩書きは、あとから勝手についてくる。<br>望まない形で英雄扱いされる者も<br>きっとどこかにはいるのだろうな。"""
11_voice_NPC_5009_104#2,"""<%me>. Thank you very much for being so supportive of me. """
C141_20#0,"""僕は先生の隣にいたかった。<br>ようするに、それだけなんです。"""
C141_30#0,"""猪突猛進な先生の助手を<br>名乗ってるのに、情けないですよ。<br>決めたら動く、それでよかったのに。"""
Alice_01_10#0,"""You're asking about interracial relationships? Whatever happened to beating around the bush?"""
Alice_01_20#0,"""But now that you mention it, I've never really thought about it."""
Alice_01_30#0,"""As far as leaving offspring goes, one set of genes is as good as another."""
Alice_01_40#0,"""The different races of Oracle are all capable of cross-breeding. Even Casts, in extreme circumstances."""
Alice_01_50#0,"""But when it comes to love, there's a lot of unscientific feelings involved and it all gets a bit complicated."""
Alice_01_60#0,"""I'm not opposed to the idea, but of course some people are. It all depends on who you ask."""
Alice_01_70#0,"""That said, I'm not particularly interested in romance right now."""
11_voice_NPC_5009_104#3,"""ダークファルスが復活したことは<br>もはや何を言っても覆らない。<br>そこの議論に興味はないよ。"""
Aki_mb9_020#0,"""だが、彼の者は倒されたのではなく<br>封印されていただけだった。<br>この事実は、重く捉えるべきだ。"""
11_voice_NPC_5009_104#4,"""かの龍の出自については誰も彼も<br>把握していない。だというのに<br>暴走したという結果が周知されている。"""
Aki_mb10_020#0,"""……暴走龍、か。<br>その形容が正しいのかどうか<br>私にはわかりかねるよ。"""
11_voice_NPC_5009_100#6,"""戦技大会そのものは悪くない<br>試みだと私も思うよ。<br>戦力の選別にも役に立つだろう。"""
Aki_mb11_020#0,"""圧倒的な戦力を育てることよりも<br>無駄な犠牲をなくす方が<br>簡単なんだからね。"""
11_voice_NPC_5009_100#7,"""惑星ウォパル……ね。<br>あいにくだが、あまり興味はないかな。"""
11_voice_NPC_5009_104#5,"""龍祭壇……龍族の聖地、か。"""
Aki_mb13_020#0,"""果たしてそこは、私の来訪を<br>歓迎してくれるのかな。"""
11_voice_NPC_5009_104#6,"""むむ……また書類を書き間違えたか。<br>ライト君でないと、どうにも勝手が<br>つかめないな。"""
Aki_mb14_020#0,"""まったく、何を悩んでいるのだか。"""
11_voice_NPC_5009_100#8,"""悩みというのは、悩んでいる時点で<br>本人の中では答えが出ているものだよ。"""
Aki_mb15_020#0,"""最後の一歩を踏み出す勇気がないだけ。<br>それを見て、ただ待つだけか<br>背中を押すかは、人次第だ。"""
11_voice_NPC_5009_100#9,"""……キナ臭いね。<br>ああいや、キミがじゃなくて<br>全体的に、だよ。"""
