Title#0,"""МИССИЯ: Начало"""
Explanation#0,"""このたび新たに開発された<br>アークスの訓練用プログラム、第一弾です。<br>森林、火山洞窟、砂漠が舞台ですが、<br>チャレンジクエストの名に相応しい<br>非常に挑戦的な難易度となっております。<br><br>初期装備や所持品は一切なく、全てが<br>現地調達となります。ご注意ください。<br>――――――――――――――――――――<br>Пройдите как минимум 5 миссий."""
SimpleExplanation#0,"""Пройдите 5 миссий!"""
Area0S#0,"""Миссия 1"""
Area0L#0,"""Корабль ARKS: VR местность (Лес) - Миссия 1"""
Area1S#0,"""Миссия 2"""
Area1L#0,"""Корабль ARKS: VR местность (Пещеры) - Миссия 2"""
Area2S#0,"""Миссия 3"""
Area2L#0,"""Корабль ARKS: VR местность (Пустыня) - Миссия 3"""
Area3S#0,"""Миссия 4"""
Area3L#0,"""Корабль ARKS: VR местность (Лес) - Миссия 4"""
Area4S#0,"""Миссия 5"""
Area4L#0,"""Корабль ARKS: VR местность (Пещеры) - Миссия 5"""
Area5S#0,"""Миссия 6"""
Area5L#0,"""Корабль ARKS: VR местность (Лес) - Миссия 6"""
Area6S#0,"""Миссия 7"""
Area6L#0,"""Корабль ARKS: VR местность (Пещеры) - Миссия 7"""
Area7S#0,"""Миссия 8"""
Area7L#0,"""Корабль ARKS: VR местность (Пустыня) - Миссия 8"""
Area8S#0,"""Миссия 9"""
Area8L#0,"""Корабль ARKS: VR местность (Лес) - Миссия 9"""
Area9S#0,"""Миссия 10"""
Area9L#0,"""Корабль ARKS: VR местность (Пещеры) - Миссия 10"""
Area10S#0,"""Миссия 11"""
Area10L#0,"""Корабль ARKS: VR местность (Лес) - Миссия 11"""
Area11S#0,"""Миссия 12"""
Area11L#0,"""Корабль ARKS: VR местность (Пещеры) - Миссия 12"""
Area12S#0,"""Миссия 13"""
Area12L#0,"""Корабль ARKS: VR местность (Пустыня) - Миссия 13"""
Area13S#0,"""Миссия 14"""
Area13L#0,"""Корабль ARKS: VR местность (Лес) - Миссия 14"""
Area14S#0,"""Миссия 15"""
Area14L#0,"""Корабль ARKS: VR местность (Пещеры) - Миссия 15"""
Area15S#0,"""Миссия 16"""
Area15L#0,"""Корабль ARKS: VR местность (Лес) - Миссия 16"""
Area16S#0,"""Миссия 17"""
Area16L#0,"""Корабль ARKS: VR местность (Пещеры) - Миссия 17"""
Area17S#0,"""Миссия 18"""
Area17L#0,"""Корабль ARKS: VR местность (Пустыня) - Миссия 18"""
Area18S#0,"""Миссия 19"""
Area18L#0,"""Корабль ARKS: VR местность (Лес) - Миссия 19"""
Area19S#0,"""Миссия 20"""
Area19L#0,"""Корабль ARKS: VR местность (Пещеры) - Миссия 20"""
Area20S#0,"""Перевалочная местность 1"""
Area20L#0,"""Корабль ARKS: VR местность (Пустыня) - Проежуточная местность 1"""
Area21S#0,"""Проежуточная местность 2"""
Area21L#0,"""Корабль ARKS: VR местность (Пещеры) - Проежуточная местность 2"""
Area22S#0,"""Проежуточная местность 3"""
Area22L#0,"""Корабль ARKS: VR местность (Лес) - Проежуточная местность 3"""
Area23S#0,"""Проежуточная местность 4"""
Area23L#0,"""Корабль ARKS: VR местность (Пустыня) - Проежуточная местность 4"""
Area24S#0,"""Проежуточная местность 5"""
Area24L#0,"""Корабль ARKS: VR местность (Пещеры) - Проежуточная местность 5"""
Area25S#0,"""Проежуточная местность 6"""
Area25L#0,"""Корабль ARKS: VR местность (Лес) - Проежуточная местность 6"""
Area26S#0,"""Проежуточная местность 7"""
Area26L#0,"""Корабль ARKS: VR местность (Пустыня) - Проежуточная местность 7"""
Area27S#0,"""Проежуточная местность 8"""
