Title#0,"""Особая тренеровка： Эпизод 4"""
Explanation#0,"""Это учебный квест для VR тренировок.<br>Главная цель - дойти до конечной<br>местности за отведённое время.<br>Вы пройдёте через различные события,<br>повстречавшихся ARKS на Земле.<br>Тщательно проработайте план<br>в соответствии со своими возможностями.<br>――――――――――――――――――――<br>Лимит времени: 15мин.<br>Максимальный урон: 999999"""
SimpleExplanation#0,"""Победите всех врагов!"""
NpcComMsg1#0,"""Что ж, скоро мы начнём<br>перемещение! Цель состоит<br>в том, чтобы пройти все<br>местности за отведённый<br>промежуток времени."""
NpcComMsg2#0,"""Я лично создала этот VR квест!<br>Он сложнее относительно прочих,<br>поэтому, пожалуйста,<br>будьте внимательны!"""
NpcComMsg3#0,"""Удачи и<br>не ослабляйте бдительность!"""
Area0S#0,"""Токио, местность 1"""
Area0L#0,"""Планета Земля - Токио, местность 1"""
Area1S#0,"""Лас-Вегвс, местность 2"""
Area1L#0,"""Планета Земля - Лас-Вегас, местность 2"""
Area2S#0,"""Искаженные пещеры, местность 3"""
Area2L#0,"""Планета Амдуския - Искаженные пещеры, местность 3"""
Area3S#0,"""Штаб Проводников Земли, местность 4"""
Area3L#0,"""Планета Земля - Штаб Проводников Земли, местность 4"""
Area4S#0,"""Верхний уровень башни ESC-A"""
Area4L#0,"""Лондон - Верхний уровень башни ESC-A"""
a1#0,"""Завершите определённый частный заказ"""
a2#0,"""Завершите определённый частный заказ"""
a3#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
a4#0,"""Получите лиц. одобр-я \""СС\"" сложности"""
